@relation mouseData
@attribute x numeric
@attribute y numeric
@attribute label {A,B,C,D,E,F,G,H,I}
@data
109.0,80.0,A
109.0,80.0,A
108.0,79.0,A
108.0,79.0,A
106.0,79.0,A
103.0,78.0,A
99.0,78.0,A
96.0,78.0,A
93.0,78.0,A
91.0,77.0,A
89.0,77.0,A
87.0,77.0,A
87.0,77.0,A
85.0,78.0,A
84.0,78.0,A
83.0,80.0,A
80.0,82.0,A
80.0,83.0,A
77.0,86.0,A
73.0,90.0,A
70.0,94.0,A
68.0,96.0,A
63.0,102.0,A
61.0,106.0,A
58.0,114.0,A
55.0,125.0,A
55.0,126.0,A
55.0,133.0,A
56.0,137.0,A
58.0,138.0,A
62.0,140.0,A
65.0,140.0,A
71.0,140.0,A
77.0,137.0,A
82.0,134.0,A
89.0,128.0,A
91.0,126.0,A
98.0,118.0,A
100.0,112.0,A
102.0,105.0,A
102.0,97.0,A
102.0,95.0,A
102.0,88.0,A
102.0,85.0,A
102.0,81.0,A
102.0,79.0,A
102.0,79.0,A
102.0,79.0,A
102.0,80.0,A
104.0,82.0,A
105.0,87.0,A
106.0,89.0,A
109.0,94.0,A
111.0,98.0,A
113.0,103.0,A
117.0,110.0,A
119.0,114.0,A
121.0,116.0,A
121.0,117.0,A
121.0,118.0,A
122.0,118.0,A
122.0,118.0,A
122.0,118.0,A
205.0,37.0,B
205.0,38.0,B
207.0,45.0,B
209.0,52.0,B
210.0,56.0,B
213.0,68.0,B
214.0,77.0,B
214.0,85.0,B
215.0,91.0,B
215.0,99.0,B
216.0,111.0,B
216.0,118.0,B
217.0,124.0,B
217.0,130.0,B
218.0,133.0,B
218.0,137.0,B
219.0,138.0,B
219.0,139.0,B
219.0,139.0,B
219.0,139.0,B
219.0,139.0,B
219.0,138.0,B
219.0,138.0,B
220.0,133.0,B
221.0,129.0,B
227.0,115.0,B
234.0,103.0,B
248.0,87.0,B
260.0,79.0,B
262.0,77.0,B
267.0,75.0,B
270.0,75.0,B
271.0,75.0,B
272.0,75.0,B
274.0,79.0,B
275.0,83.0,B
277.0,90.0,B
278.0,95.0,B
278.0,98.0,B
278.0,102.0,B
277.0,106.0,B
275.0,110.0,B
271.0,113.0,B
267.0,114.0,B
255.0,117.0,B
239.0,118.0,B
233.0,118.0,B
221.0,119.0,B
216.0,119.0,B
214.0,120.0,B
415.0,86.0,C
414.0,85.0,C
414.0,85.0,C
410.0,85.0,C
408.0,85.0,C
404.0,85.0,C
402.0,86.0,C
398.0,88.0,C
394.0,89.0,C
391.0,90.0,C
384.0,94.0,C
380.0,98.0,C
378.0,101.0,C
376.0,107.0,C
373.0,115.0,C
372.0,122.0,C
372.0,126.0,C
373.0,130.0,C
376.0,135.0,C
377.0,138.0,C
379.0,138.0,C
381.0,140.0,C
384.0,141.0,C
394.0,143.0,C
401.0,144.0,C
410.0,144.0,C
424.0,143.0,C
436.0,140.0,C
454.0,131.0,C
460.0,125.0,C
112.0,239.0,D
112.0,238.0,D
112.0,238.0,D
110.0,238.0,D
109.0,238.0,D
108.0,237.0,D
106.0,237.0,D
105.0,237.0,D
100.0,237.0,D
94.0,237.0,D
92.0,237.0,D
87.0,239.0,D
83.0,240.0,D
79.0,242.0,D
75.0,245.0,D
73.0,246.0,D
72.0,249.0,D
69.0,256.0,D
69.0,260.0,D
71.0,263.0,D
72.0,266.0,D
73.0,269.0,D
77.0,272.0,D
82.0,273.0,D
88.0,275.0,D
93.0,275.0,D
99.0,273.0,D
110.0,268.0,D
122.0,258.0,D
132.0,250.0,D
138.0,245.0,D
146.0,236.0,D
152.0,227.0,D
155.0,222.0,D
157.0,218.0,D
159.0,210.0,D
162.0,202.0,D
164.0,186.0,D
164.0,179.0,D
164.0,175.0,D
163.0,171.0,D
162.0,169.0,D
162.0,169.0,D
161.0,168.0,D
161.0,169.0,D
161.0,169.0,D
160.0,174.0,D
160.0,176.0,D
160.0,180.0,D
160.0,184.0,D
159.0,186.0,D
159.0,187.0,D
159.0,187.0,D
239.0,256.0,E
239.0,256.0,E
239.0,256.0,E
240.0,256.0,E
241.0,255.0,E
243.0,254.0,E
246.0,253.0,E
252.0,250.0,E
256.0,248.0,E
261.0,246.0,E
265.0,243.0,E
268.0,240.0,E
269.0,238.0,E
270.0,236.0,E
271.0,234.0,E
271.0,231.0,E
271.0,229.0,E
270.0,228.0,E
269.0,225.0,E
268.0,224.0,E
267.0,223.0,E
265.0,222.0,E
263.0,221.0,E
261.0,220.0,E
259.0,220.0,E
255.0,220.0,E
253.0,220.0,E
249.0,220.0,E
242.0,220.0,E
237.0,221.0,E
236.0,221.0,E
234.0,223.0,E
233.0,224.0,E
232.0,226.0,E
230.0,233.0,E
230.0,237.0,E
230.0,246.0,E
230.0,258.0,E
230.0,266.0,E
232.0,278.0,E
232.0,282.0,E
235.0,291.0,E
239.0,297.0,E
245.0,306.0,E
255.0,311.0,E
259.0,313.0,E
270.0,316.0,E
285.0,316.0,E
296.0,314.0,E
372.0,267.0,F
373.0,267.0,F
373.0,267.0,F
373.0,267.0,F
374.0,267.0,F
374.0,267.0,F
374.0,267.0,F
375.0,267.0,F
376.0,267.0,F
381.0,267.0,F
386.0,267.0,F
389.0,266.0,F
401.0,264.0,F
406.0,262.0,F
413.0,259.0,F
420.0,253.0,F
426.0,248.0,F
429.0,244.0,F
434.0,238.0,F
435.0,236.0,F
437.0,233.0,F
439.0,229.0,F
439.0,226.0,F
440.0,222.0,F
440.0,220.0,F
440.0,217.0,F
440.0,214.0,F
439.0,210.0,F
438.0,207.0,F
437.0,205.0,F
436.0,204.0,F
435.0,203.0,F
435.0,203.0,F
434.0,202.0,F
431.0,202.0,F
429.0,202.0,F
427.0,202.0,F
424.0,204.0,F
424.0,204.0,F
420.0,208.0,F
419.0,211.0,F
415.0,219.0,F
414.0,225.0,F
412.0,234.0,F
410.0,254.0,F
408.0,270.0,F
407.0,283.0,F
407.0,291.0,F
407.0,298.0,F
408.0,305.0,F
409.0,321.0,F
411.0,331.0,F
411.0,335.0,F
411.0,345.0,F
411.0,355.0,F
411.0,361.0,F
412.0,365.0,F
412.0,365.0,F
412.0,365.0,F
146.0,362.0,G
137.0,361.0,G
135.0,361.0,G
131.0,361.0,G
128.0,361.0,G
126.0,362.0,G
123.0,363.0,G
122.0,364.0,G
120.0,366.0,G
118.0,367.0,G
118.0,368.0,G
116.0,371.0,G
116.0,372.0,G
115.0,373.0,G
114.0,377.0,G
114.0,382.0,G
114.0,386.0,G
114.0,390.0,G
117.0,401.0,G
119.0,404.0,G
119.0,405.0,G
122.0,408.0,G
131.0,411.0,G
137.0,410.0,G
142.0,408.0,G
148.0,404.0,G
158.0,397.0,G
166.0,390.0,G
174.0,384.0,G
177.0,382.0,G
181.0,377.0,G
184.0,373.0,G
186.0,371.0,G
186.0,370.0,G
186.0,370.0,G
186.0,370.0,G
186.0,370.0,G
187.0,372.0,G
187.0,376.0,G
188.0,379.0,G
189.0,386.0,G
191.0,396.0,G
191.0,414.0,G
191.0,426.0,G
191.0,432.0,G
191.0,457.0,G
185.0,477.0,G
182.0,484.0,G
178.0,491.0,G
175.0,493.0,G
172.0,495.0,G
166.0,496.0,G
160.0,496.0,G
150.0,492.0,G
145.0,490.0,G
132.0,483.0,G
122.0,475.0,G
105.0,460.0,G
100.0,455.0,G
92.0,446.0,G
242.0,397.0,H
242.0,397.0,H
242.0,397.0,H
243.0,397.0,H
248.0,397.0,H
253.0,397.0,H
258.0,397.0,H
266.0,396.0,H
275.0,395.0,H
282.0,392.0,H
289.0,390.0,H
291.0,389.0,H
295.0,387.0,H
297.0,385.0,H
299.0,383.0,H
301.0,381.0,H
301.0,380.0,H
302.0,379.0,H
302.0,376.0,H
303.0,374.0,H
303.0,372.0,H
302.0,371.0,H
299.0,366.0,H
298.0,364.0,H
296.0,362.0,H
294.0,361.0,H
292.0,361.0,H
290.0,361.0,H
287.0,363.0,H
280.0,368.0,H
277.0,371.0,H
271.0,378.0,H
266.0,387.0,H
264.0,401.0,H
263.0,419.0,H
263.0,425.0,H
263.0,449.0,H
263.0,461.0,H
263.0,467.0,H
263.0,470.0,H
263.0,476.0,H
264.0,479.0,H
264.0,480.0,H
264.0,480.0,H
265.0,480.0,H
265.0,480.0,H
268.0,476.0,H
270.0,473.0,H
278.0,465.0,H
283.0,459.0,H
291.0,451.0,H
295.0,448.0,H
297.0,447.0,H
298.0,447.0,H
300.0,448.0,H
302.0,450.0,H
303.0,451.0,H
304.0,453.0,H
306.0,455.0,H
308.0,456.0,H
310.0,457.0,H
311.0,457.0,H
312.0,457.0,H
313.0,457.0,H
315.0,456.0,H
316.0,456.0,H
317.0,454.0,H
320.0,448.0,H
398.0,445.0,I
398.0,445.0,I
398.0,444.0,I
399.0,444.0,I
399.0,443.0,I
400.0,443.0,I
401.0,442.0,I
402.0,441.0,I
403.0,440.0,I
406.0,437.0,I
412.0,433.0,I
417.0,427.0,I
418.0,426.0,I
422.0,423.0,I
424.0,421.0,I
425.0,421.0,I
425.0,420.0,I
426.0,420.0,I
426.0,419.0,I
427.0,419.0,I
427.0,419.0,I
427.0,420.0,I
427.0,421.0,I
428.0,423.0,I
429.0,426.0,I
430.0,432.0,I
431.0,440.0,I
431.0,444.0,I
432.0,453.0,I
433.0,459.0,I
434.0,464.0,I
434.0,464.0,I
434.0,463.0,I
436.0,461.0,I
437.0,459.0,I
439.0,457.0,I
441.0,454.0,I
443.0,452.0,I
444.0,450.0,I
440.0,380.0,I
