x,y,label
67.0,73.0,0.0
67.0,74.0,0.0
67.0,74.0,0.0
67.0,75.0,0.0
67.0,76.0,0.0
67.0,78.0,0.0
67.0,80.0,0.0
67.0,82.0,0.0
67.0,85.0,0.0
67.0,88.0,0.0
67.0,90.0,0.0
67.0,93.0,0.0
67.0,94.0,0.0
67.0,97.0,0.0
67.0,98.0,0.0
67.0,100.0,0.0
67.0,101.0,0.0
67.0,103.0,0.0
67.0,106.0,0.0
67.0,107.0,0.0
69.0,111.0,0.0
70.0,113.0,0.0
72.0,115.0,0.0
74.0,116.0,0.0
75.0,118.0,0.0
77.0,119.0,0.0
77.0,119.0,0.0
78.0,120.0,0.0
79.0,120.0,0.0
82.0,121.0,0.0
83.0,122.0,0.0
85.0,122.0,0.0
89.0,122.0,0.0
92.0,122.0,0.0
95.0,122.0,0.0
98.0,122.0,0.0
101.0,122.0,0.0
104.0,122.0,0.0
107.0,122.0,0.0
113.0,122.0,0.0
115.0,122.0,0.0
116.0,121.0,0.0
119.0,119.0,0.0
127.0,112.0,0.0
128.0,110.0,0.0
131.0,107.0,0.0
132.0,104.0,0.0
133.0,103.0,0.0
134.0,101.0,0.0
134.0,99.0,0.0
135.0,96.0,0.0
135.0,93.0,0.0
135.0,86.0,0.0
135.0,84.0,0.0
135.0,73.0,0.0
131.0,67.0,0.0
130.0,63.0,0.0
128.0,61.0,0.0
126.0,58.0,0.0
123.0,56.0,0.0
119.0,53.0,0.0
117.0,53.0,0.0
114.0,52.0,0.0
110.0,52.0,0.0
108.0,52.0,0.0
100.0,52.0,0.0
98.0,52.0,0.0
94.0,52.0,0.0
90.0,52.0,0.0
86.0,53.0,0.0
82.0,55.0,0.0
79.0,56.0,0.0
76.0,58.0,0.0
73.0,60.0,0.0
68.0,63.0,0.0
66.0,65.0,0.0
65.0,66.0,0.0
63.0,68.0,0.0
62.0,69.0,0.0
61.0,70.0,0.0
61.0,71.0,0.0
61.0,73.0,0.0
61.0,75.0,0.0
225.0,39.0,1.0
225.0,41.0,1.0
225.0,44.0,1.0
225.0,52.0,1.0
225.0,59.0,1.0
225.0,71.0,1.0
225.0,79.0,1.0
225.0,84.0,1.0
225.0,95.0,1.0
225.0,103.0,1.0
225.0,109.0,1.0
223.0,120.0,1.0
223.0,124.0,1.0
223.0,129.0,1.0
222.0,136.0,1.0
222.0,139.0,1.0
222.0,141.0,1.0
222.0,145.0,1.0
222.0,147.0,1.0
222.0,148.0,1.0
222.0,151.0,1.0
222.0,152.0,1.0
222.0,152.0,1.0
222.0,152.0,1.0
308.0,70.0,2.0
310.0,70.0,2.0
311.0,70.0,2.0
314.0,70.0,2.0
317.0,70.0,2.0
321.0,70.0,2.0
325.0,70.0,2.0
328.0,70.0,2.0
329.0,70.0,2.0
336.0,70.0,2.0
