@relation testData
@attribute x numeric
@attribute y numeric
@attribute label {0,1,2,3,4,5,6,7,8}
@data
62.0,60.0,0
62.0,60.0,0
62.0,61.0,0
62.0,63.0,0
62.0,65.0,0
62.0,68.0,0
61.0,71.0,0
61.0,74.0,0
60.0,79.0,0
59.0,83.0,0
59.0,89.0,0
59.0,93.0,0
59.0,98.0,0
59.0,102.0,0
59.0,106.0,0
59.0,113.0,0
59.0,116.0,0
59.0,124.0,0
59.0,129.0,0
59.0,135.0,0
59.0,141.0,0
59.0,144.0,0
61.0,154.0,0
62.0,156.0,0
63.0,161.0,0
65.0,165.0,0
66.0,168.0,0
67.0,171.0,0
69.0,174.0,0
70.0,176.0,0
72.0,178.0,0
73.0,180.0,0
74.0,181.0,0
76.0,182.0,0
77.0,183.0,0
79.0,184.0,0
80.0,184.0,0
81.0,185.0,0
83.0,185.0,0
85.0,186.0,0
86.0,186.0,0
88.0,187.0,0
92.0,187.0,0
94.0,187.0,0
96.0,187.0,0
98.0,187.0,0
100.0,187.0,0
102.0,187.0,0
105.0,187.0,0
106.0,186.0,0
108.0,185.0,0
109.0,184.0,0
110.0,183.0,0
112.0,182.0,0
113.0,180.0,0
114.0,179.0,0
115.0,177.0,0
117.0,176.0,0
117.0,174.0,0
119.0,172.0,0
120.0,170.0,0
121.0,168.0,0
122.0,164.0,0
123.0,161.0,0
124.0,158.0,0
125.0,154.0,0
126.0,148.0,0
127.0,145.0,0
128.0,138.0,0
128.0,132.0,0
129.0,125.0,0
129.0,122.0,0
129.0,116.0,0
129.0,112.0,0
129.0,108.0,0
129.0,105.0,0
129.0,102.0,0
128.0,99.0,0
127.0,96.0,0
126.0,94.0,0
125.0,92.0,0
123.0,89.0,0
122.0,88.0,0
121.0,86.0,0
120.0,85.0,0
118.0,83.0,0
116.0,82.0,0
114.0,81.0,0
111.0,79.0,0
109.0,77.0,0
106.0,76.0,0
104.0,75.0,0
102.0,74.0,0
100.0,74.0,0
98.0,73.0,0
96.0,73.0,0
95.0,72.0,0
94.0,72.0,0
92.0,72.0,0
91.0,72.0,0
90.0,72.0,0
88.0,72.0,0
86.0,72.0,0
85.0,72.0,0
83.0,72.0,0
80.0,72.0,0
78.0,72.0,0
