x,y,z
314.0,322.0,399.0
314.0,325.0,399.0
314.0,326.0,399.0
314.0,326.0,399.0
313.0,324.0,399.0
312.0,324.0,402.0
312.0,324.0,403.0
312.0,327.0,402.0
313.0,324.0,402.0
313.0,322.0,400.0
313.0,321.0,398.0
314.0,321.0,396.0
314.0,322.0,396.0
314.0,322.0,395.0
314.0,323.0,397.0
314.0,325.0,397.0
315.0,326.0,397.0
315.0,326.0,396.0
315.0,323.0,396.0
315.0,323.0,397.0
315.0,325.0,396.0
315.0,325.0,398.0
315.0,325.0,398.0
314.0,327.0,398.0
314.0,329.0,399.0
314.0,329.0,398.0
313.0,328.0,398.0
313.0,329.0,398.0
313.0,329.0,399.0
313.0,329.0,396.0
314.0,328.0,395.0
314.0,326.0,395.0
314.0,325.0,396.0
313.0,324.0,397.0
312.0,325.0,398.0
312.0,326.0,401.0
312.0,327.0,400.0
311.0,328.0,401.0
309.0,331.0,402.0
306.0,335.0,410.0
299.0,345.0,436.0
291.0,359.0,463.0
288.0,333.0,481.0
282.0,303.0,492.0
281.0,297.0,486.0
277.0,317.0,501.0
274.0,331.0,518.0
270.0,351.0,534.0
277.0,367.0,534.0
288.0,354.0,506.0
303.0,333.0,466.0
317.0,330.0,427.0
330.0,331.0,392.0
342.0,326.0,359.0
349.0,322.0,327.0
355.0,305.0,302.0
363.0,296.0,268.0
370.0,290.0,238.0
374.0,283.0,218.0
375.0,279.0,222.0
374.0,286.0,232.0
373.0,308.0,235.0
372.0,327.0,245.0
373.0,342.0,252.0
372.0,350.0,252.0
372.0,358.0,250.0
371.0,357.0,262.0
368.0,352.0,282.0
367.0,346.0,307.0
365.0,344.0,335.0
356.0,350.0,391.0
338.0,369.0,500.0
300.0,341.0,626.0
255.0,295.0,655.0
236.0,302.0,660.0
237.0,348.0,640.0
245.0,383.0,580.0
250.0,379.0,522.0
260.0,357.0,486.0
269.0,347.0,456.0
282.0,329.0,434.0
288.0,298.0,420.0
295.0,288.0,406.0
297.0,282.0,386.0
303.0,301.0,370.0
308.0,311.0,348.0
310.0,313.0,330.0
313.0,311.0,317.0
315.0,304.0,312.0
317.0,298.0,304.0
320.0,298.0,300.0
325.0,298.0,294.0
329.0,301.0,289.0
