x,y,z,label
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,400.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,A
335.0,323.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,399.0,A
335.0,324.0,400.0,A
335.0,324.0,399.0,A
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,398.0,B
335.0,324.0,400.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,400.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,400.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,323.0,399.0,B
335.0,323.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
335.0,324.0,399.0,B
