@relation mouseTrain
@attribute x numeric
@attribute y numeric
@attribute label {A,B}
@data
91.0,226.0,A
208.0,104.0,A
207.0,103.0,A
186.0,103.0,A
61.0,138.0,A
202.0,23.0,A
215.0,63.0,A
211.0,71.0,A
57.0,219.0,A
55.0,225.0,A
98.0,195.0,A
108.0,182.0,A
146.0,155.0,A
150.0,173.0,A
97.0,270.0,A
82.0,296.0,A
91.0,311.0,A
158.0,211.0,A
199.0,156.0,A
255.0,123.0,A
180.0,270.0,A
128.0,333.0,A
83.0,388.0,A
73.0,405.0,A
114.0,403.0,A
120.0,398.0,A
278.0,128.0,A
308.0,62.0,A
308.0,54.0,A
306.0,53.0,A
291.0,49.0,A
249.0,57.0,A
249.0,132.0,A
248.0,151.0,A
247.0,153.0,A
225.0,209.0,A
221.0,215.0,A
201.0,247.0,A
199.0,248.0,A
161.0,171.0,A
160.0,170.0,A
132.0,132.0,A
83.0,70.0,A
81.0,65.0,A
313.0,362.0,B
262.0,405.0,B
348.0,316.0,B
371.0,305.0,B
418.0,279.0,B
429.0,285.0,B
405.0,364.0,B
365.0,410.0,B
270.0,422.0,B
277.0,370.0,B
427.0,207.0,B
454.0,146.0,B
415.0,98.0,B
333.0,165.0,B
312.0,291.0,B
302.0,401.0,B
303.0,403.0,B
367.0,436.0,B
440.0,419.0,B
465.0,428.0,B
452.0,459.0,B
375.0,472.0,B
371.0,472.0,B
455.0,330.0,B
409.0,384.0,B
362.0,400.0,B
385.0,409.0,B
419.0,251.0,B
