x,y,label
105.0,32.0,0.0
117.0,30.0,0.0
132.0,47.0,0.0
51.0,149.0,0.0
49.0,154.0,0.0
131.0,118.0,0.0
158.0,28.0,0.0
16.0,34.0,0.0
13.0,42.0,0.0
74.0,198.0,0.0
76.0,213.0,0.0
80.0,224.0,0.0
226.0,74.0,0.0
124.0,47.0,0.0
49.0,193.0,0.0
49.0,197.0,0.0
99.0,166.0,0.0
87.0,96.0,0.0
99.0,62.0,0.0
99.0,62.0,0.0
99.0,61.0,0.0
151.0,85.0,0.0
65.0,249.0,0.0
50.0,302.0,0.0
51.0,302.0,0.0
124.0,201.0,0.0
126.0,99.0,0.0
178.0,66.0,0.0
161.0,161.0,0.0
161.0,163.0,0.0
184.0,155.0,0.0
186.0,153.0,0.0
196.0,89.0,0.0
210.0,77.0,0.0
273.0,51.0,0.0
288.0,45.0,0.0
321.0,44.0,0.0
321.0,44.0,0.0
251.0,248.0,0.0
321.0,439.0,1.0
367.0,331.0,1.0
372.0,313.0,1.0
372.0,263.0,1.0
217.0,411.0,1.0
245.0,419.0,1.0
259.0,413.0,1.0
383.0,335.0,1.0
383.0,333.0,1.0
345.0,304.0,1.0
263.0,397.0,1.0
329.0,428.0,1.0
370.0,459.0,1.0
435.0,381.0,1.0
435.0,376.0,1.0
445.0,278.0,1.0
444.0,275.0,1.0
411.0,263.0,1.0
388.0,405.0,1.0
379.0,451.0,1.0
292.0,447.0,1.0
357.0,338.0,1.0
367.0,332.0,1.0
432.0,301.0,1.0
434.0,311.0,1.0
371.0,430.0,1.0
369.0,432.0,1.0
365.0,473.0,1.0
416.0,396.0,1.0
429.0,327.0,1.0
427.0,323.0,1.0
278.0,354.0,1.0
247.0,468.0,1.0
352.0,444.0,1.0
354.0,442.0,1.0
375.0,347.0,1.0
379.0,313.0,1.0
342.0,182.0,1.0
158.0,390.0,1.0
