x,y,label
91.0,72.0,0.0
172.0,16.0,0.0
101.0,25.0,0.0
99.0,25.0,0.0
63.0,54.0,0.0
90.0,148.0,0.0
205.0,75.0,0.0
207.0,68.0,0.0
169.0,45.0,0.0
167.0,47.0,0.0
91.0,168.0,0.0
57.0,209.0,0.0
170.0,82.0,0.0
196.0,107.0,0.0
194.0,115.0,0.0
115.0,209.0,0.0
118.0,249.0,0.0
128.0,252.0,0.0
218.0,123.0,0.0
294.0,49.0,0.0
205.0,35.0,0.0
198.0,41.0,0.0
114.0,162.0,0.0
47.0,272.0,0.0
56.0,291.0,0.0
64.0,67.0,0.0
47.0,26.0,0.0
148.0,3.0,0.0
148.0,3.0,0.0
104.0,127.0,0.0
56.0,168.0,0.0
87.0,62.0,0.0
101.0,57.0,0.0
201.0,47.0,0.0
99.0,204.0,0.0
93.0,258.0,0.0
232.0,138.0,0.0
283.0,110.0,0.0
283.0,109.0,0.0
323.0,261.0,1.0
247.0,286.0,1.0
226.0,397.0,1.0
410.0,296.0,1.0
428.0,345.0,1.0
344.0,453.0,1.0
287.0,386.0,1.0
421.0,265.0,1.0
332.0,335.0,1.0
309.0,346.0,1.0
229.0,395.0,1.0
235.0,434.0,1.0
392.0,382.0,1.0
398.0,300.0,1.0
420.0,190.0,1.0
459.0,193.0,1.0
463.0,216.0,1.0
369.0,416.0,1.0
367.0,420.0,1.0
375.0,470.0,1.0
416.0,359.0,1.0
417.0,353.0,1.0
389.0,295.0,1.0
244.0,385.0,1.0
229.0,397.0,1.0
135.0,447.0,1.0
134.0,447.0,1.0
185.0,478.0,1.0
270.0,439.0,1.0
270.0,437.0,1.0
462.0,232.0,1.0
486.0,202.0,1.0
464.0,56.0,1.0
440.0,67.0,1.0
11.0,491.0,1.0
90.0,374.0,1.0
