x,y,z,label
333.0,335.0,399.0,0.0
333.0,335.0,398.0,0.0
333.0,334.0,398.0,0.0
333.0,334.0,398.0,0.0
333.0,334.0,398.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,400.0,0.0
332.0,333.0,400.0,0.0
332.0,332.0,401.0,0.0
332.0,332.0,400.0,0.0
332.0,333.0,400.0,0.0
332.0,333.0,400.0,0.0
333.0,333.0,400.0,0.0
333.0,332.0,400.0,0.0
333.0,332.0,400.0,0.0
334.0,332.0,401.0,0.0
334.0,334.0,400.0,0.0
333.0,335.0,398.0,0.0
333.0,335.0,397.0,0.0
333.0,335.0,397.0,0.0
334.0,335.0,399.0,0.0
335.0,336.0,400.0,0.0
335.0,336.0,399.0,0.0
334.0,335.0,398.0,0.0
334.0,335.0,397.0,0.0
334.0,336.0,398.0,0.0
335.0,336.0,399.0,0.0
335.0,336.0,398.0,0.0
334.0,335.0,399.0,0.0
333.0,335.0,399.0,0.0
334.0,334.0,399.0,0.0
333.0,333.0,399.0,0.0
333.0,333.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,333.0,399.0,0.0
333.0,333.0,400.0,0.0
333.0,333.0,399.0,0.0
333.0,334.0,397.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,399.0,0.0
334.0,335.0,400.0,0.0
333.0,334.0,400.0,0.0
333.0,333.0,400.0,0.0
332.0,333.0,401.0,0.0
332.0,332.0,401.0,0.0
331.0,330.0,402.0,0.0
331.0,331.0,401.0,0.0
332.0,332.0,401.0,0.0
332.0,332.0,402.0,0.0
333.0,332.0,402.0,0.0
333.0,332.0,401.0,0.0
333.0,332.0,400.0,0.0
333.0,333.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,398.0,0.0
333.0,334.0,397.0,0.0
333.0,334.0,396.0,0.0
333.0,335.0,397.0,0.0
334.0,338.0,398.0,0.0
335.0,338.0,398.0,0.0
335.0,338.0,397.0,0.0
335.0,337.0,396.0,0.0
334.0,337.0,396.0,0.0
335.0,338.0,396.0,0.0
335.0,338.0,396.0,0.0
334.0,338.0,395.0,0.0
334.0,338.0,396.0,0.0
334.0,338.0,396.0,0.0
334.0,337.0,397.0,0.0
333.0,336.0,399.0,0.0
333.0,336.0,398.0,0.0
333.0,335.0,398.0,0.0
332.0,335.0,398.0,0.0
333.0,335.0,398.0,0.0
333.0,334.0,399.0,0.0
333.0,333.0,399.0,0.0
332.0,334.0,398.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,399.0,0.0
333.0,334.0,400.0,0.0
333.0,335.0,398.0,0.0
333.0,335.0,398.0,0.0
334.0,336.0,399.0,0.0
334.0,336.0,399.0,0.0
334.0,334.0,399.0,0.0
333.0,333.0,401.0,0.0
333.0,332.0,402.0,0.0
332.0,332.0,401.0,0.0
332.0,332.0,401.0,0.0
331.0,332.0,400.0,0.0
332.0,332.0,401.0,0.0
332.0,333.0,400.0,0.0
332.0,333.0,400.0,0.0
265.0,324.0,350.0,1.0
265.0,323.0,351.0,1.0
265.0,324.0,350.0,1.0
266.0,324.0,350.0,1.0
266.0,324.0,351.0,1.0
266.0,324.0,351.0,1.0
266.0,325.0,350.0,1.0
266.0,326.0,349.0,1.0
266.0,326.0,349.0,1.0
266.0,326.0,351.0,1.0
266.0,325.0,352.0,1.0
266.0,326.0,351.0,1.0
266.0,326.0,351.0,1.0
266.0,325.0,349.0,1.0
266.0,326.0,349.0,1.0
266.0,324.0,350.0,1.0
265.0,324.0,350.0,1.0
265.0,325.0,351.0,1.0
265.0,325.0,350.0,1.0
265.0,323.0,351.0,1.0
265.0,323.0,350.0,1.0
265.0,323.0,350.0,1.0
265.0,324.0,350.0,1.0
265.0,325.0,351.0,1.0
265.0,325.0,351.0,1.0
265.0,324.0,351.0,1.0
265.0,324.0,351.0,1.0
266.0,323.0,350.0,1.0
265.0,322.0,351.0,1.0
265.0,323.0,351.0,1.0
265.0,326.0,350.0,1.0
266.0,325.0,350.0,1.0
266.0,325.0,350.0,1.0
266.0,325.0,350.0,1.0
266.0,325.0,349.0,1.0
266.0,324.0,350.0,1.0
266.0,323.0,350.0,1.0
266.0,323.0,351.0,1.0
265.0,323.0,352.0,1.0
266.0,323.0,351.0,1.0
266.0,325.0,350.0,1.0
266.0,326.0,350.0,1.0
266.0,326.0,350.0,1.0
266.0,325.0,350.0,1.0
265.0,325.0,352.0,1.0
265.0,323.0,352.0,1.0
264.0,322.0,352.0,1.0
264.0,322.0,351.0,1.0
264.0,323.0,351.0,1.0
264.0,325.0,351.0,1.0
265.0,324.0,351.0,1.0
265.0,324.0,350.0,1.0
