x,y,label
39.0,445.0,0.0
43.0,444.0,0.0
44.0,444.0,0.0
46.0,442.0,0.0
50.0,441.0,0.0
55.0,438.0,0.0
59.0,436.0,0.0
68.0,431.0,0.0
72.0,428.0,0.0
75.0,427.0,0.0
81.0,424.0,0.0
87.0,421.0,0.0
93.0,417.0,0.0
99.0,414.0,0.0
105.0,411.0,0.0
111.0,408.0,0.0
113.0,407.0,0.0
117.0,404.0,0.0
119.0,404.0,0.0
124.0,400.0,0.0
128.0,397.0,0.0
133.0,394.0,0.0
135.0,392.0,0.0
139.0,390.0,0.0
141.0,388.0,0.0
146.0,385.0,0.0
148.0,383.0,0.0
152.0,379.0,0.0
155.0,378.0,0.0
160.0,374.0,0.0
162.0,373.0,0.0
164.0,371.0,0.0
170.0,368.0,0.0
176.0,364.0,0.0
178.0,361.0,0.0
180.0,360.0,0.0
186.0,356.0,0.0
188.0,355.0,0.0
190.0,353.0,0.0
196.0,349.0,0.0
198.0,347.0,0.0
200.0,345.0,0.0
208.0,341.0,0.0
210.0,339.0,0.0
216.0,335.0,0.0
218.0,333.0,0.0
220.0,331.0,0.0
223.0,329.0,0.0
225.0,327.0,0.0
232.0,323.0,0.0
235.0,320.0,0.0
237.0,319.0,0.0
239.0,317.0,0.0
241.0,315.0,0.0
245.0,313.0,0.0
253.0,306.0,0.0
255.0,304.0,0.0
258.0,302.0,0.0
260.0,300.0,0.0
262.0,299.0,0.0
264.0,297.0,0.0
269.0,293.0,0.0
271.0,291.0,0.0
273.0,289.0,0.0
275.0,287.0,0.0
277.0,285.0,0.0
279.0,284.0,0.0
281.0,281.0,0.0
283.0,280.0,0.0
285.0,278.0,0.0
290.0,274.0,0.0
291.0,272.0,0.0
294.0,270.0,0.0
295.0,269.0,0.0
296.0,267.0,0.0
298.0,266.0,0.0
299.0,264.0,0.0
301.0,263.0,0.0
302.0,262.0,0.0
303.0,261.0,0.0
304.0,260.0,0.0
306.0,258.0,0.0
307.0,257.0,0.0
308.0,255.0,0.0
309.0,254.0,0.0
310.0,252.0,0.0
312.0,251.0,0.0
313.0,250.0,0.0
315.0,248.0,0.0
315.0,247.0,0.0
317.0,245.0,0.0
318.0,245.0,0.0
320.0,243.0,0.0
320.0,242.0,0.0
322.0,241.0,0.0
323.0,239.0,0.0
324.0,238.0,0.0
325.0,236.0,0.0
327.0,235.0,0.0
328.0,233.0,0.0
329.0,232.0,0.0
330.0,231.0,0.0
332.0,229.0,0.0
333.0,228.0,0.0
334.0,226.0,0.0
335.0,225.0,0.0
337.0,224.0,0.0
338.0,221.0,0.0
340.0,220.0,0.0
342.0,218.0,0.0
343.0,216.0,0.0
346.0,215.0,0.0
347.0,212.0,0.0
348.0,211.0,0.0
351.0,210.0,0.0
352.0,207.0,0.0
354.0,206.0,0.0
356.0,204.0,0.0
357.0,202.0,0.0
360.0,200.0,0.0
361.0,198.0,0.0
363.0,196.0,0.0
365.0,195.0,0.0
366.0,192.0,0.0
369.0,191.0,0.0
370.0,189.0,0.0
372.0,187.0,0.0
374.0,185.0,0.0
376.0,183.0,0.0
378.0,180.0,0.0
380.0,179.0,0.0
382.0,177.0,0.0
385.0,173.0,0.0
386.0,171.0,0.0
388.0,169.0,0.0
391.0,166.0,0.0
392.0,164.0,0.0
395.0,162.0,0.0
396.0,160.0,0.0
398.0,158.0,0.0
400.0,156.0,0.0
401.0,154.0,0.0
404.0,152.0,0.0
405.0,150.0,0.0
407.0,148.0,0.0
409.0,145.0,0.0
410.0,143.0,0.0
412.0,142.0,0.0
414.0,140.0,0.0
416.0,138.0,0.0
417.0,136.0,0.0
418.0,134.0,0.0
420.0,133.0,0.0
421.0,131.0,0.0
422.0,129.0,0.0
423.0,128.0,0.0
425.0,126.0,0.0
426.0,125.0,0.0
428.0,123.0,0.0
428.0,121.0,0.0
430.0,120.0,0.0
431.0,118.0,0.0
433.0,117.0,0.0
434.0,115.0,0.0
436.0,113.0,0.0
437.0,111.0,0.0
439.0,110.0,0.0
440.0,107.0,0.0
441.0,106.0,0.0
444.0,104.0,0.0
445.0,101.0,0.0
447.0,100.0,0.0
447.0,98.0,0.0
449.0,96.0,0.0
450.0,95.0,0.0
451.0,94.0,0.0
452.0,93.0,0.0
453.0,92.0,0.0
454.0,90.0,0.0
455.0,89.0,0.0
456.0,87.0,0.0
458.0,86.0,0.0
458.0,85.0,0.0
458.0,84.0,0.0
459.0,84.0,0.0
459.0,83.0,0.0
460.0,83.0,0.0
460.0,82.0,0.0
