@relation accData
@attribute m_x numeric
@attribute sd_x numeric
@attribute label {A,B,C}
@data
252.75,117.956215,A
275.8,141.75761,A
275.4,137.82574,A
276.9,126.752525,A
270.05,120.444984,A
266.25,124.212,A
268.6,116.57092,A
264.8,106.0003,A
259.75,98.419014,A
226.7,63.148197,A
278.2,107.46094,B
321.35,70.74734,B
281.35,113.34821,B
293.2,96.597694,B
278.9,100.878716,B
299.2,82.84709,B
287.9,88.29309,B
290.4,112.38954,B
290.1,104.61102,B
294.4,115.30706,B
264.25,17.201199,C
281.1,31.940577,C
287.2,33.72582,C
263.55,20.904474,C
288.8,21.326036,C
283.15,26.774435,C
291.1,42.167442,C
310.5,46.074886,C
303.25,51.879284,C
310.4,49.95196,C
