m_x,sd_x,label
289.3,13.94766,0.0
328.85,17.415281,0.0
308.1,19.20499,0.0
316.05,14.897809,0.0
322.1,14.523651,0.0
356.5,20.327581,0.0
318.35,19.615454,0.0
325.7,6.1567264,0.0
296.4,12.508524,0.0
301.1,17.973366,0.0
262.75,8.698911,1.0
321.8,53.4382,1.0
354.55,65.7543,1.0
317.3,54.599102,1.0
316.9,44.181328,1.0
286.15,38.09445,1.0
283.5,36.306446,1.0
293.75,45.701405,1.0
296.75,42.810333,1.0
300.9,49.96831,1.0
285.1,41.142754,1.0
279.4,49.2741,1.0
283.85,37.21102,1.0
287.25,44.944267,1.0
277.95,40.02693,1.0
340.15,25.049997,1.0
291.85,39.155926,1.0
273.45,20.407616,1.0
277.35,28.948742,1.0
298.65,32.46744,1.0
428.3,148.82845,2.0
398.25,134.5358,2.0
369.6,140.89093,2.0
319.0,137.30296,2.0
419.45,133.57925,2.0
406.35,133.00941,2.0
401.9,118.74959,2.0
445.45,125.33764,2.0
411.3,118.67652,2.0
416.7,125.35301,2.0
390.2,106.060356,2.0
347.15,97.222626,2.0
453.3,110.77911,2.0
444.65,112.87221,2.0
387.45,112.52203,2.0
431.2,117.01219,2.0
354.5,89.52888,2.0
418.65,80.446304,2.0
414.55,119.69412,2.0
352.9,103.18093,2.0
281.25,57.513287,2.0
