m_x,sd_x,label
259.8,14.069745,0.0
323.5,14.467748,0.0
338.3,13.913639,0.0
324.6,8.32498,0.0
326.1,16.60659,0.0
324.8,11.293222,0.0
313.35,12.300089,0.0
338.1,23.494469,0.0
305.85,10.68829,0.0
330.15,17.780167,0.0
281.2,34.318317,1.0
299.0,60.625683,1.0
290.2,60.872253,1.0
301.35,48.05509,1.0
271.15,44.082787,1.0
286.7,43.09121,1.0
275.35,53.041466,1.0
290.25,38.003983,1.0
269.9,36.179234,1.0
275.85,28.105585,1.0
272.5,36.634037,1.0
285.8,29.932556,1.0
284.2,33.372852,1.0
273.3,43.17785,1.0
275.4,34.621864,1.0
287.85,35.450897,1.0
277.4,32.028614,1.0
281.55,35.715942,1.0
281.5,32.98244,1.0
298.05,38.345352,1.0
319.1,74.37239,2.0
331.3,129.54337,2.0
344.85,105.48049,2.0
310.0,119.33809,2.0
379.6,98.48772,2.0
319.65,97.183105,2.0
376.45,104.590164,2.0
312.55,95.58764,2.0
379.3,103.65435,2.0
323.85,100.633415,2.0
341.95,96.07534,2.0
304.35,57.325726,2.0
