m_x,sd_x,m_y,sd_y,m_z,sd_z,label
307.25,21.432575,309.9,15.583071,335.35,60.56773,A
318.55,35.479404,324.95,26.796461,308.8,145.3267,A
319.75,41.60576,330.95,20.661364,300.2,160.92352,A
330.15,71.21448,342.0,25.536345,307.75,190.20042,A
311.15,52.83267,321.25,21.603792,298.95,107.28147,A
316.3,33.82324,324.45,21.656342,313.9,135.8784,A
313.75,30.862816,322.0,20.23546,310.15,119.38274,A
317.45,22.864542,317.3,18.71702,337.9,84.98167,A
298.35,15.681948,323.95,16.050823,347.95,94.70924,A
304.0,27.026306,323.8,21.97749,337.25,111.10065,A
347.85,47.322273,336.3,33.331036,258.3,100.71643,B
356.2,36.799038,331.3,30.815416,240.05,66.04422,B
354.6,45.03497,330.15,21.668007,257.7,103.28656,B
350.55,46.402668,334.05,31.01863,264.3,102.41305,B
344.85,21.638832,333.55,17.736294,236.35,35.453865,B
343.4,40.658268,332.7,17.853497,257.2,71.84531,B
347.1,34.60133,339.0,19.006927,239.1,41.71569,B
340.5,49.10086,336.3,22.785267,259.5,82.77904,B
343.5,33.517452,335.3,19.555862,236.7,37.73745,B
341.35,56.499905,333.15,29.274153,261.75,95.160736,B
317.9,17.00433,368.4,21.174461,270.85,18.238989,C
320.55,27.058382,369.8,21.454,274.8,23.56313,C
323.25,35.751884,376.75,29.203236,272.85,32.782017,C
323.25,23.44733,374.2,26.530222,272.0,32.954517,C
321.1,28.96078,379.3,32.134747,267.95,32.143555,C
320.4,21.648878,375.0,33.6749,268.15,30.250319,C
326.25,34.32487,376.1,32.445744,260.0,39.07212,C
317.95,21.700043,377.1,34.979546,260.35,35.925777,C
326.85,20.342514,367.5,42.081997,260.7,34.326767,C
324.4,35.471855,373.2,34.872097,265.85,39.292797,C
337.1,35.81371,285.95,38.188545,278.0,14.5204,D
333.75,18.327072,292.1,37.27268,278.7,15.944309,D
328.45,33.022297,298.15,41.193096,277.75,15.700734,D
309.5,16.595818,327.2,12.688997,265.55,14.321395,D
314.45,13.347483,331.15,13.2238865,265.0,15.362299,D
339.5,19.637508,273.35,32.50147,281.25,15.46771,D
332.1,39.69608,306.6,59.661667,278.2,23.291288,D
334.95,71.75139,305.2,85.246765,283.55,47.62515,D
333.45,39.026943,304.5,69.32039,278.2,11.879219,D
353.8,45.175224,276.25,47.094395,279.25,16.735954,D
345.15,93.53314,326.95,31.231691,267.35,62.558834,E
369.1,63.291218,327.65,28.645336,264.9,36.10934,E
348.85,108.10534,326.9,27.458868,270.15,51.33407,E
347.95,126.66262,331.85,31.197622,271.05,74.75607,E
364.9,108.15432,325.0,23.839378,280.0,41.74484,E
357.65,110.22859,323.95,27.461891,271.55,46.58492,E
359.45,98.96277,326.15,16.278086,273.95,27.259897,E
361.55,96.608536,328.35,24.23411,273.3,46.924454,E
386.2,72.370834,325.3,23.044811,266.35,29.021349,E
389.75,87.57064,324.25,26.195372,259.3,35.042984,E
281.5,72.61324,323.6,24.444132,270.1,15.399582,F
287.4,71.64416,322.45,24.809763,265.4,19.65063,F
298.25,108.74009,335.15,35.223026,271.4,29.75408,F
280.0,63.476463,336.35,16.79999,267.8,9.434534,F
284.0,77.42638,336.45,29.36428,268.75,16.653978,F
288.45,104.22469,338.15,25.12134,283.45,28.590532,F
283.55,85.50684,341.15,28.823004,274.95,18.540071,F
279.55,69.98684,346.2,22.754074,270.85,8.992843,F
272.6,70.2105,343.6,21.801498,279.1,20.03915,F
281.85,104.94173,334.4,30.300941,279.8,23.946424,F
