@relation mouseTest
@attribute x numeric
@attribute y numeric
@attribute label {A,B}
@data
131.0,72.0,A
151.0,62.0,A
215.0,55.0,A
182.0,100.0,A
54.0,159.0,A
68.0,180.0,A
204.0,110.0,A
197.0,81.0,A
183.0,71.0,A
83.0,35.0,A
66.0,96.0,A
67.0,97.0,A
153.0,144.0,A
141.0,174.0,A
88.0,153.0,A
124.0,106.0,A
147.0,124.0,A
139.0,210.0,A
81.0,274.0,A
36.0,329.0,A
63.0,355.0,A
69.0,354.0,A
122.0,279.0,A
152.0,197.0,A
154.0,193.0,A
221.0,141.0,A
246.0,144.0,A
247.0,147.0,A
188.0,233.0,A
115.0,323.0,A
109.0,333.0,A
100.0,372.0,A
99.0,376.0,A
109.0,391.0,A
157.0,257.0,A
170.0,177.0,A
272.0,43.0,A
296.0,17.0,A
353.0,71.0,A
335.0,160.0,A
258.0,335.0,B
262.0,331.0,B
406.0,234.0,B
421.0,242.0,B
420.0,243.0,B
293.0,316.0,B
289.0,322.0,B
310.0,354.0,B
344.0,353.0,B
302.0,472.0,B
291.0,472.0,B
249.0,390.0,B
249.0,379.0,B
339.0,318.0,B
343.0,320.0,B
337.0,360.0,B
326.0,364.0,B
205.0,397.0,B
203.0,399.0,B
202.0,431.0,B
331.0,411.0,B
337.0,408.0,B
415.0,371.0,B
418.0,368.0,B
410.0,274.0,B
407.0,270.0,B
336.0,218.0,B
292.0,212.0,B
293.0,271.0,B
412.0,374.0,B
416.0,435.0,B
414.0,440.0,B
390.0,456.0,B
358.0,285.0,B
363.0,274.0,B
396.0,174.0,B
399.0,148.0,B
420.0,340.0,B
