x,y,label
90.0,75.0,0.0
90.0,77.0,0.0
90.0,79.0,0.0
90.0,81.0,0.0
90.0,83.0,0.0
90.0,85.0,0.0
90.0,88.0,0.0
90.0,90.0,0.0
90.0,92.0,0.0
90.0,93.0,0.0
90.0,94.0,0.0
90.0,96.0,0.0
90.0,97.0,0.0
90.0,99.0,0.0
90.0,101.0,0.0
90.0,102.0,0.0
90.0,103.0,0.0
90.0,105.0,0.0
90.0,106.0,0.0
90.0,107.0,0.0
90.0,108.0,0.0
90.0,109.0,0.0
90.0,110.0,0.0
90.0,111.0,0.0
90.0,113.0,0.0
90.0,114.0,0.0
90.0,115.0,0.0
90.0,116.0,0.0
90.0,117.0,0.0
90.0,119.0,0.0
90.0,120.0,0.0
90.0,122.0,0.0
90.0,123.0,0.0
90.0,125.0,0.0
90.0,127.0,0.0
90.0,130.0,0.0
90.0,131.0,0.0
90.0,134.0,0.0
90.0,135.0,0.0
90.0,136.0,0.0
90.0,137.0,0.0
90.0,140.0,0.0
90.0,142.0,0.0
89.0,146.0,0.0
89.0,147.0,0.0
89.0,148.0,0.0
89.0,150.0,0.0
89.0,152.0,0.0
88.0,153.0,0.0
88.0,157.0,0.0
88.0,158.0,0.0
88.0,160.0,0.0
88.0,161.0,0.0
88.0,162.0,0.0
88.0,164.0,0.0
88.0,165.0,0.0
88.0,167.0,0.0
88.0,168.0,0.0
87.0,171.0,0.0
87.0,172.0,0.0
87.0,173.0,0.0
87.0,174.0,0.0
86.0,175.0,0.0
86.0,177.0,0.0
86.0,178.0,0.0
86.0,179.0,0.0
86.0,180.0,0.0
86.0,181.0,0.0
86.0,183.0,0.0
86.0,184.0,0.0
86.0,185.0,0.0
86.0,186.0,0.0
86.0,187.0,0.0
86.0,188.0,0.0
85.0,188.0,0.0
85.0,189.0,0.0
85.0,190.0,0.0
85.0,191.0,0.0
85.0,192.0,0.0
85.0,193.0,0.0
370.0,94.0,2.0
370.0,93.0,2.0
371.0,93.0,2.0
373.0,92.0,2.0
375.0,91.0,2.0
377.0,91.0,2.0
378.0,90.0,2.0
381.0,89.0,2.0
384.0,88.0,2.0
387.0,88.0,2.0
390.0,88.0,2.0
393.0,88.0,2.0
396.0,88.0,2.0
399.0,88.0,2.0
402.0,88.0,2.0
404.0,88.0,2.0
405.0,88.0,2.0
407.0,88.0,2.0
408.0,88.0,2.0
409.0,88.0,2.0
410.0,89.0,2.0
412.0,90.0,2.0
412.0,92.0,2.0
413.0,93.0,2.0
414.0,95.0,2.0
415.0,99.0,2.0
416.0,102.0,2.0
417.0,105.0,2.0
418.0,109.0,2.0
418.0,111.0,2.0
418.0,113.0,2.0
418.0,115.0,2.0
418.0,117.0,2.0
418.0,122.0,2.0
418.0,124.0,2.0
417.0,126.0,2.0
416.0,128.0,2.0
416.0,131.0,2.0
414.0,133.0,2.0
408.0,139.0,2.0
406.0,142.0,2.0
404.0,144.0,2.0
400.0,147.0,2.0
397.0,149.0,2.0
392.0,152.0,2.0
389.0,155.0,2.0
385.0,156.0,2.0
378.0,160.0,2.0
375.0,162.0,2.0
373.0,163.0,2.0
370.0,164.0,2.0
368.0,165.0,2.0
368.0,166.0,2.0
366.0,166.0,2.0
366.0,167.0,2.0
368.0,167.0,2.0
370.0,167.0,2.0
372.0,167.0,2.0
376.0,168.0,2.0
380.0,168.0,2.0
382.0,168.0,2.0
385.0,169.0,2.0
391.0,169.0,2.0
398.0,170.0,2.0
406.0,171.0,2.0
409.0,172.0,2.0
418.0,173.0,2.0
422.0,173.0,2.0
431.0,175.0,2.0
434.0,175.0,2.0
441.0,177.0,2.0
448.0,178.0,2.0
450.0,178.0,2.0
455.0,179.0,2.0
457.0,179.0,2.0
458.0,179.0,2.0
460.0,179.0,2.0
461.0,179.0,2.0
354.0,285.0,3.0
355.0,285.0,3.0
358.0,285.0,3.0
361.0,285.0,3.0
365.0,285.0,3.0
369.0,285.0,3.0
373.0,285.0,3.0
376.0,286.0,3.0
383.0,287.0,3.0
390.0,288.0,3.0
398.0,289.0,3.0
405.0,291.0,3.0
410.0,292.0,3.0
417.0,295.0,3.0
418.0,295.0,3.0
420.0,297.0,3.0
424.0,299.0,3.0
427.0,300.0,3.0
428.0,301.0,3.0
430.0,304.0,3.0
432.0,306.0,3.0
432.0,307.0,3.0
433.0,308.0,3.0
434.0,312.0,3.0
434.0,315.0,3.0
434.0,318.0,3.0
434.0,320.0,3.0
434.0,324.0,3.0
434.0,327.0,3.0
432.0,331.0,3.0
432.0,333.0,3.0
429.0,338.0,3.0
425.0,343.0,3.0
421.0,348.0,3.0
420.0,349.0,3.0
416.0,353.0,3.0
414.0,354.0,3.0
411.0,357.0,3.0
409.0,358.0,3.0
406.0,360.0,3.0
405.0,360.0,3.0
403.0,361.0,3.0
401.0,361.0,3.0
400.0,361.0,3.0
399.0,361.0,3.0
399.0,362.0,3.0
400.0,362.0,3.0
401.0,363.0,3.0
403.0,364.0,3.0
405.0,365.0,3.0
405.0,366.0,3.0
406.0,366.0,3.0
407.0,369.0,3.0
407.0,370.0,3.0
407.0,372.0,3.0
407.0,373.0,3.0
407.0,375.0,3.0
407.0,377.0,3.0
407.0,379.0,3.0
407.0,382.0,3.0
407.0,384.0,3.0
406.0,386.0,3.0
405.0,388.0,3.0
403.0,390.0,3.0
398.0,396.0,3.0
396.0,398.0,3.0
394.0,400.0,3.0
392.0,403.0,3.0
389.0,404.0,3.0
386.0,406.0,3.0
383.0,408.0,3.0
379.0,409.0,3.0
376.0,410.0,3.0
373.0,411.0,3.0
370.0,412.0,3.0
367.0,412.0,3.0
365.0,412.0,3.0
362.0,412.0,3.0
359.0,412.0,3.0
357.0,412.0,3.0
355.0,412.0,3.0
353.0,412.0,3.0
351.0,412.0,3.0
348.0,412.0,3.0
346.0,412.0,3.0
344.0,412.0,3.0
342.0,412.0,3.0
339.0,411.0,3.0
337.0,410.0,3.0
334.0,410.0,3.0
332.0,410.0,3.0
330.0,409.0,3.0
329.0,408.0,3.0
102.0,270.0,4.0
102.0,272.0,4.0
102.0,273.0,4.0
103.0,276.0,4.0
104.0,282.0,4.0
104.0,285.0,4.0
104.0,290.0,4.0
105.0,296.0,4.0
106.0,303.0,4.0
106.0,307.0,4.0
106.0,309.0,4.0
107.0,312.0,4.0
107.0,316.0,4.0
108.0,319.0,4.0
108.0,321.0,4.0
109.0,324.0,4.0
109.0,325.0,4.0
109.0,326.0,4.0
110.0,327.0,4.0
110.0,328.0,4.0
111.0,329.0,4.0
112.0,329.0,4.0
113.0,330.0,4.0
114.0,330.0,4.0
115.0,331.0,4.0
117.0,332.0,4.0
118.0,332.0,4.0
121.0,332.0,4.0
125.0,333.0,4.0
127.0,333.0,4.0
129.0,333.0,4.0
137.0,335.0,4.0
145.0,336.0,4.0
156.0,336.0,4.0
166.0,337.0,4.0
171.0,338.0,4.0
181.0,339.0,4.0
186.0,339.0,4.0
190.0,340.0,4.0
199.0,340.0,4.0
206.0,340.0,4.0
209.0,340.0,4.0
213.0,340.0,4.0
214.0,340.0,4.0
216.0,340.0,4.0
191.0,284.0,4.0
191.0,287.0,4.0
190.0,291.0,4.0
189.0,298.0,4.0
188.0,302.0,4.0
187.0,308.0,4.0
186.0,316.0,4.0
185.0,318.0,4.0
185.0,323.0,4.0
184.0,329.0,4.0
183.0,336.0,4.0
180.0,345.0,4.0
180.0,351.0,4.0
179.0,356.0,4.0
