x,y,label
83.0,41.0,A
54.0,129.0,A
254.0,48.0,A
117.0,157.0,A
163.0,46.0,A
170.0,139.0,A
163.0,148.0,A
268.0,126.0,A
203.0,202.0,A
312.0,136.0,A
353.0,94.0,A
322.0,60.0,A
189.0,180.0,A
115.0,247.0,A
67.0,315.0,A
30.0,276.0,A
69.0,148.0,A
51.0,412.0,A
55.0,445.0,A
147.0,348.0,A
282.0,226.0,A
406.0,39.0,A
415.0,33.0,A
416.0,34.0,A
392.0,96.0,A
227.0,161.0,A
192.0,169.0,A
177.0,117.0,A
220.0,77.0,A
161.0,170.0,A
158.0,175.0,A
284.0,222.0,A
155.0,301.0,A
137.0,280.0,A
183.0,256.0,A
213.0,243.0,A
131.0,317.0,A
140.0,183.0,A
118.0,57.0,A
315.0,114.0,A
369.0,70.0,A
385.0,60.0,A
443.0,458.0,B
349.0,461.0,B
389.0,380.0,B
437.0,336.0,B
443.0,394.0,B
393.0,442.0,B
368.0,391.0,B
409.0,307.0,B
420.0,293.0,B
391.0,282.0,B
181.0,423.0,B
202.0,312.0,B
208.0,309.0,B
232.0,308.0,B
194.0,383.0,B
272.0,364.0,B
275.0,361.0,B
331.0,289.0,B
414.0,157.0,B
445.0,123.0,B
448.0,125.0,B
383.0,251.0,B
338.0,245.0,B
421.0,200.0,B
363.0,331.0,B
317.0,365.0,B
290.0,399.0,B
258.0,437.0,B
250.0,448.0,B
243.0,462.0,B
