x,y,label
169.0,26.0,A
38.0,137.0,A
143.0,60.0,A
106.0,9.0,A
40.0,140.0,A
259.0,57.0,A
61.0,188.0,A
141.0,175.0,A
213.0,97.0,A
199.0,90.0,A
94.0,169.0,A
98.0,95.0,A
102.0,41.0,A
60.0,83.0,A
178.0,65.0,A
75.0,175.0,A
72.0,186.0,A
179.0,119.0,A
209.0,96.0,A
94.0,235.0,A
208.0,188.0,A
70.0,161.0,A
62.0,108.0,A
37.0,45.0,A
256.0,220.0,A
114.0,292.0,A
72.0,377.0,A
320.0,55.0,A
394.0,448.0,B
419.0,384.0,B
393.0,440.0,B
331.0,470.0,B
356.0,377.0,B
425.0,390.0,B
367.0,434.0,B
331.0,423.0,B
429.0,332.0,B
420.0,441.0,B
317.0,451.0,B
307.0,452.0,B
270.0,457.0,B
415.0,285.0,B
458.0,254.0,B
458.0,254.0,B
425.0,357.0,B
445.0,318.0,B
434.0,462.0,B
386.0,369.0,B
394.0,364.0,B
419.0,375.0,B
357.0,372.0,B
339.0,387.0,B
387.0,431.0,B
300.0,337.0,B
230.0,378.0,B
89.0,479.0,B
149.0,298.0,B
243.0,290.0,B
344.0,229.0,B
401.0,143.0,B
