@relation mouseTrainNum
@attribute x numeric
@attribute y numeric
@attribute label numeric
@data
186.0,12.0,0.0
189.0,67.0,0.0
186.0,74.0,0.0
57.0,223.0,0.0
51.0,236.0,0.0
57.0,248.0,0.0
160.0,96.0,0.0
115.0,52.0,0.0
90.0,223.0,0.0
93.0,225.0,0.0
162.0,253.0,0.0
224.0,275.0,0.0
123.0,314.0,0.0
120.0,171.0,0.0
195.0,122.0,0.0
233.0,217.0,0.0
224.0,230.0,0.0
132.0,273.0,0.0
127.0,278.0,0.0
115.0,352.0,0.0
349.0,133.0,1.0
348.0,235.0,1.0
285.0,187.0,1.0
294.0,155.0,1.0
274.0,133.0,1.0
300.0,136.0,1.0
308.0,140.0,1.0
360.0,240.0,1.0
235.0,354.0,1.0
162.0,426.0,1.0
225.0,449.0,1.0
288.0,317.0,1.0
353.0,288.0,1.0
337.0,375.0,1.0
290.0,449.0,1.0
397.0,401.0,1.0
438.0,299.0,1.0
