@relation mouseTestNum
@attribute x numeric
@attribute y numeric
@attribute label numeric
@data
103.0,124.0,0.0
211.0,51.0,0.0
157.0,153.0,0.0
70.0,237.0,0.0
162.0,108.0,0.0
158.0,55.0,0.0
154.0,55.0,0.0
106.0,136.0,0.0
109.0,141.0,0.0
121.0,222.0,0.0
121.0,264.0,0.0
248.0,118.0,0.0
251.0,105.0,0.0
260.0,85.0,0.0
238.0,234.0,0.0
140.0,331.0,0.0
112.0,269.0,0.0
396.0,79.0,0.0
400.0,119.0,0.0
388.0,128.0,0.0
80.0,325.0,0.0
78.0,327.0,0.0
76.0,334.0,0.0
327.0,248.0,1.0
338.0,277.0,1.0
407.0,277.0,1.0
243.0,355.0,1.0
242.0,359.0,1.0
293.0,379.0,1.0
454.0,358.0,1.0
227.0,461.0,1.0
226.0,461.0,1.0
259.0,446.0,1.0
261.0,440.0,1.0
294.0,249.0,1.0
294.0,249.0,1.0
301.0,255.0,1.0
345.0,375.0,1.0
353.0,428.0,1.0
355.0,428.0,1.0
