x,y
149.0,131.0
149.0,134.0
149.0,136.0
148.0,142.0
148.0,150.0
148.0,158.0
148.0,167.0
148.0,175.0
147.0,183.0
147.0,186.0
147.0,192.0
147.0,202.0
147.0,207.0
147.0,212.0
147.0,217.0
147.0,221.0
147.0,224.0
147.0,226.0
147.0,228.0
147.0,229.0
147.0,232.0
147.0,233.0
147.0,234.0
147.0,235.0
147.0,236.0
345.0,123.0
345.0,122.0
346.0,122.0
347.0,121.0
349.0,119.0
351.0,118.0
352.0,117.0
354.0,116.0
356.0,115.0
359.0,114.0
361.0,113.0
366.0,112.0
368.0,111.0
370.0,111.0
372.0,111.0
373.0,111.0
374.0,111.0
375.0,111.0
376.0,111.0
377.0,111.0
378.0,111.0
379.0,111.0
380.0,111.0
381.0,112.0
382.0,114.0
384.0,116.0
385.0,118.0
386.0,119.0
388.0,123.0
389.0,128.0
390.0,130.0
391.0,135.0
391.0,137.0
391.0,144.0
391.0,146.0
391.0,149.0
391.0,155.0
390.0,157.0
389.0,163.0
387.0,166.0
384.0,171.0
383.0,174.0
381.0,177.0
377.0,182.0
374.0,184.0
372.0,187.0
367.0,192.0
365.0,194.0
363.0,195.0
360.0,197.0
358.0,198.0
354.0,202.0
352.0,203.0
351.0,203.0
349.0,206.0
347.0,206.0
346.0,207.0
345.0,208.0
344.0,208.0
344.0,209.0
343.0,209.0
343.0,210.0
342.0,210.0
341.0,210.0
341.0,211.0
340.0,211.0
340.0,212.0
342.0,212.0
343.0,212.0
346.0,212.0
349.0,212.0
353.0,212.0
355.0,212.0
360.0,212.0
368.0,212.0
376.0,212.0
384.0,212.0
388.0,212.0
396.0,212.0
399.0,212.0
407.0,212.0
413.0,212.0
415.0,212.0
420.0,212.0
423.0,212.0
425.0,212.0
107.0,339.0
108.0,338.0
110.0,337.0
115.0,335.0
117.0,335.0
121.0,335.0
124.0,334.0
134.0,332.0
145.0,331.0
149.0,331.0
159.0,330.0
171.0,330.0
175.0,330.0
178.0,330.0
188.0,330.0
191.0,331.0
199.0,333.0
202.0,334.0
208.0,337.0
210.0,338.0
211.0,339.0
213.0,340.0
213.0,341.0
214.0,343.0
215.0,346.0
215.0,348.0
215.0,349.0
215.0,353.0
215.0,357.0
215.0,361.0
215.0,363.0
214.0,367.0
211.0,372.0
210.0,374.0
206.0,378.0
204.0,380.0
197.0,383.0
190.0,388.0
188.0,388.0
183.0,390.0
180.0,391.0
178.0,391.0
177.0,391.0
178.0,391.0
178.0,392.0
179.0,393.0
180.0,395.0
180.0,396.0
181.0,399.0
182.0,403.0
183.0,405.0
183.0,408.0
183.0,409.0
183.0,410.0
183.0,412.0
183.0,413.0
182.0,416.0
181.0,418.0
181.0,419.0
178.0,422.0
177.0,424.0
175.0,425.0
172.0,429.0
170.0,429.0
168.0,431.0
163.0,434.0
161.0,434.0
159.0,436.0
156.0,436.0
154.0,437.0
149.0,440.0
148.0,440.0
146.0,441.0
143.0,441.0
142.0,442.0
141.0,442.0
140.0,442.0
329.0,328.0
330.0,328.0
331.0,327.0
333.0,327.0
335.0,327.0
337.0,326.0
339.0,326.0
341.0,326.0
347.0,325.0
349.0,325.0
352.0,325.0
361.0,325.0
365.0,325.0
368.0,325.0
371.0,326.0
374.0,326.0
376.0,326.0
378.0,327.0
382.0,328.0
384.0,329.0
385.0,330.0
386.0,330.0
387.0,331.0
387.0,332.0
389.0,334.0
390.0,338.0
391.0,339.0
392.0,341.0
393.0,344.0
393.0,346.0
393.0,348.0
393.0,351.0
392.0,358.0
390.0,361.0
388.0,365.0
386.0,367.0
380.0,371.0
377.0,373.0
374.0,374.0
368.0,375.0
366.0,376.0
364.0,376.0
362.0,377.0
361.0,377.0
360.0,377.0
360.0,378.0
360.0,380.0
360.0,381.0
359.0,383.0
359.0,386.0
358.0,388.0
358.0,392.0
357.0,395.0
356.0,401.0
356.0,403.0
355.0,408.0
354.0,413.0
353.0,418.0
352.0,422.0
351.0,428.0
350.0,432.0
350.0,433.0
350.0,437.0
350.0,440.0
350.0,442.0
349.0,445.0
349.0,446.0
349.0,447.0
348.0,449.0
348.0,451.0
348.0,452.0
348.0,454.0
348.0,455.0
348.0,456.0
347.0,457.0
347.0,458.0
347.0,457.0
364.0,299.0
362.0,302.0
361.0,308.0
359.0,312.0
359.0,315.0
358.0,318.0
357.0,325.0
355.0,333.0
354.0,343.0
353.0,352.0
352.0,356.0
351.0,366.0
351.0,374.0
351.0,376.0
351.0,378.0
351.0,382.0
351.0,383.0
351.0,385.0
353.0,385.0
354.0,385.0
356.0,385.0
360.0,385.0
364.0,384.0
372.0,383.0
379.0,383.0
386.0,382.0
389.0,382.0
396.0,381.0
404.0,381.0
412.0,381.0
414.0,381.0
415.0,381.0
408.0,305.0
408.0,310.0
408.0,314.0
408.0,322.0
408.0,329.0
408.0,332.0
408.0,339.0
405.0,356.0
403.0,367.0
402.0,379.0
400.0,390.0
399.0,394.0
397.0,406.0
395.0,417.0
393.0,426.0
392.0,435.0
391.0,442.0
389.0,449.0
389.0,450.0
388.0,452.0
388.0,455.0
387.0,457.0
387.0,458.0
387.0,459.0
387.0,460.0
