x,y
62.0,119.0
62.0,118.0
65.0,115.0
67.0,112.0
76.0,106.0
83.0,100.0
101.0,90.0
112.0,85.0
122.0,82.0
151.0,71.0
174.0,66.0
191.0,61.0
195.0,60.0
207.0,58.0
212.0,58.0
215.0,58.0
216.0,58.0
216.0,58.0
217.0,58.0
217.0,58.0
217.0,58.0
217.0,59.0
216.0,62.0
213.0,67.0
209.0,75.0
202.0,83.0
197.0,89.0
184.0,100.0
172.0,110.0
146.0,127.0
130.0,139.0
122.0,145.0
106.0,157.0
91.0,168.0
84.0,174.0
81.0,179.0
80.0,179.0
81.0,180.0
81.0,180.0
83.0,181.0
84.0,181.0
87.0,182.0
90.0,182.0
98.0,182.0
110.0,179.0
114.0,177.0
136.0,169.0
162.0,159.0
183.0,151.0
206.0,142.0
217.0,137.0
241.0,126.0
260.0,117.0
272.0,113.0
276.0,112.0
277.0,112.0
276.0,112.0
276.0,112.0
276.0,113.0
276.0,113.0
340.0,255.0
340.0,255.0
340.0,254.0
340.0,251.0
340.0,245.0
341.0,236.0
344.0,224.0
349.0,211.0
363.0,193.0
373.0,186.0
379.0,184.0
391.0,181.0
402.0,179.0
407.0,179.0
412.0,179.0
415.0,181.0
416.0,182.0
419.0,187.0
422.0,196.0
423.0,214.0
423.0,228.0
422.0,236.0
417.0,252.0
405.0,272.0
396.0,283.0
388.0,290.0
386.0,292.0
378.0,297.0
369.0,299.0
362.0,299.0
361.0,299.0
353.0,296.0
351.0,295.0
348.0,291.0
346.0,286.0
345.0,282.0
345.0,270.0
348.0,250.0
351.0,234.0
359.0,213.0
361.0,210.0
369.0,202.0
383.0,198.0
393.0,198.0
398.0,200.0
400.0,202.0
403.0,207.0
406.0,217.0
407.0,229.0
403.0,249.0
402.0,252.0
395.0,267.0
389.0,272.0
384.0,276.0
379.0,279.0
378.0,279.0
375.0,280.0
374.0,280.0
374.0,280.0
123.0,352.0
123.0,352.0
123.0,352.0
125.0,349.0
128.0,345.0
134.0,339.0
143.0,334.0
148.0,333.0
160.0,331.0
168.0,330.0
176.0,330.0
186.0,331.0
189.0,332.0
193.0,334.0
194.0,335.0
194.0,337.0
194.0,342.0
194.0,343.0
190.0,347.0
186.0,350.0
180.0,353.0
171.0,358.0
165.0,361.0
152.0,366.0
128.0,375.0
123.0,376.0
121.0,378.0
117.0,380.0
116.0,381.0
115.0,382.0
115.0,382.0
116.0,382.0
116.0,382.0
118.0,382.0
124.0,382.0
126.0,382.0
142.0,377.0
158.0,374.0
178.0,369.0
194.0,365.0
203.0,364.0
218.0,359.0
230.0,357.0
236.0,356.0
238.0,356.0
239.0,356.0
239.0,356.0
239.0,356.0
238.0,357.0
237.0,359.0
235.0,361.0
232.0,365.0
231.0,368.0
226.0,373.0
222.0,376.0
218.0,380.0
213.0,385.0
212.0,387.0
211.0,389.0
211.0,393.0
211.0,393.0
211.0,395.0
211.0,395.0
213.0,396.0
215.0,396.0
217.0,397.0
226.0,398.0
228.0,398.0
235.0,399.0
253.0,399.0
269.0,393.0
282.0,388.0
290.0,385.0
305.0,378.0
314.0,373.0
318.0,370.0
321.0,367.0
