x,y,label
213.0,210.0,0.0
208.0,211.0,0.0
202.0,211.0,0.0
199.0,212.0,0.0
196.0,212.0,0.0
195.0,212.0,0.0
195.0,212.0,0.0
194.0,212.0,0.0
194.0,212.0,0.0
194.0,211.0,0.0
192.0,210.0,0.0
188.0,207.0,0.0
184.0,205.0,0.0
180.0,202.0,0.0
177.0,198.0,0.0
175.0,196.0,0.0
174.0,187.0,0.0
172.0,171.0,0.0
173.0,159.0,0.0
175.0,149.0,0.0
179.0,140.0,0.0
182.0,136.0,0.0
190.0,131.0,0.0
202.0,127.0,0.0
214.0,126.0,0.0
230.0,126.0,0.0
247.0,128.0,0.0
259.0,131.0,0.0
266.0,135.0,0.0
267.0,136.0,0.0
270.0,145.0,0.0
270.0,177.0,0.0
265.0,188.0,0.0
262.0,193.0,0.0
254.0,202.0,0.0
246.0,207.0,0.0
237.0,212.0,0.0
216.0,218.0,0.0
211.0,219.0,0.0
190.0,221.0,0.0
183.0,221.0,0.0
179.0,221.0,0.0
178.0,220.0,0.0
178.0,220.0,0.0
178.0,219.0,0.0
178.0,215.0,0.0
180.0,210.0,0.0
184.0,201.0,0.0
186.0,198.0,0.0
197.0,186.0,0.0
217.0,174.0,0.0
244.0,169.0,0.0
258.0,169.0,0.0
276.0,175.0,0.0
285.0,179.0,0.0
292.0,185.0,0.0
293.0,190.0,0.0
293.0,193.0,0.0
291.0,200.0,0.0
285.0,206.0,0.0
278.0,211.0,0.0
267.0,215.0,0.0
263.0,215.0,0.0
251.0,215.0,0.0
239.0,214.0,0.0
231.0,212.0,0.0
224.0,209.0,0.0
220.0,207.0,0.0
