@relation FusionTrain
@attribute h_0 numeric
@attribute h_1 numeric
@attribute h_2 numeric
@attribute h_3 numeric
@attribute h_4 numeric
@attribute h_5 numeric
@attribute h_6 numeric
@attribute h_7 numeric
@attribute h_8 numeric
@attribute h_9 numeric
@attribute h_10 numeric
@attribute h_11 numeric
@attribute h_12 numeric
@attribute h_13 numeric
@attribute h_14 numeric
@attribute h_15 numeric
@attribute label {A,B,C}
@data
0.46214858,0.15942703,0.14767787,0.21735941,0.24614485,0.15066035,0.32043567,0.38044676,0.1822927,0.20637846,0.40819284,0.2500763,0.20696592,0.11450909,0.017714115,9.037813E-5,A
0.46184948,0.15908399,0.14734015,0.2188873,0.24508512,0.14964375,0.32241386,0.3815396,0.18081012,0.20705311,0.40886664,0.24693704,0.20610456,0.11518007,0.018022293,1.3550596E-4,A
0.46279904,0.15864557,0.1471783,0.21702029,0.24659139,0.15250562,0.3192776,0.3831602,0.17986454,0.20347627,0.41002253,0.24627537,0.20781036,0.11413091,0.018419862,9.029344E-5,A
0.46265954,0.15941471,0.1464953,0.21746172,0.24655299,0.15155464,0.32113323,0.38207132,0.18037488,0.20327747,0.40867805,0.24817921,0.20634922,0.116274714,0.018791873,0.0,A
0.4624826,0.16212873,0.14518385,0.21770799,0.24626578,0.15087733,0.3238056,0.3819153,0.18192038,0.20112458,0.40663224,0.24979031,0.20460394,0.117168285,0.01861679,9.037276E-5,A
0.46369696,0.16100086,0.14698507,0.21588854,0.24713023,0.14978823,0.32209215,0.38403296,0.18116553,0.20399773,0.40180138,0.25323388,0.20526367,0.11660242,0.019486485,1.3563679E-4,A
0.46287194,0.1601658,0.14809914,0.2166125,0.24612387,0.14990687,0.3202412,0.38622376,0.1804125,0.20237654,0.40515983,0.24860951,0.20685071,0.117638715,0.01943321,1.3558054E-4,A
0.46367514,0.1603012,0.14641897,0.21655357,0.24843292,0.15039824,0.3218685,0.38323063,0.17947403,0.20389226,0.40380526,0.2500608,0.2059271,0.11820234,0.020529404,4.5218952E-5,A
0.46464458,0.15980917,0.14534271,0.21681605,0.24719563,0.14868808,0.32129103,0.38403928,0.18137324,0.20248522,0.40374985,0.25076702,0.20465519,0.11993599,0.021021575,1.3562306E-4,A
0.46265757,0.16304335,0.1437207,0.21775314,0.24698602,0.14987499,0.32074696,0.3840999,0.18159671,0.20232219,0.40392032,0.25060618,0.20648538,0.12028011,0.021132736,1.3575633E-4,A
0.44104373,0.5561477,0.115736164,0.1323086,0.17787154,0.24420647,0.19448914,0.21426769,0.30065212,0.2904919,0.14870043,0.111897856,0.18667705,0.16477615,0.07152793,0.11722633,B
0.43951192,0.55829895,0.117115855,0.12872356,0.17935483,0.24394244,0.19362734,0.2181074,0.30107763,0.28414032,0.15135181,0.110386096,0.18771057,0.16553399,0.07294335,0.11693519,B
0.44126216,0.557379,0.11557511,0.12975112,0.17706469,0.2437461,0.19440095,0.21602613,0.30112734,0.28668046,0.14916413,0.1105187,0.1885319,0.16352072,0.07322767,0.11927713,B
0.44166315,0.55640256,0.115461886,0.13081466,0.17466037,0.24298021,0.19425774,0.21638379,0.30190778,0.2872323,0.14955407,0.10990779,0.18874879,0.16540356,0.071932256,0.12060958,B
0.44226182,0.55500674,0.1158165,0.12923205,0.17602843,0.24396446,0.19450305,0.21668164,0.30395055,0.2853404,0.14824873,0.11098328,0.18944399,0.16446485,0.07127864,0.12186931,B
0.4411546,0.556152,0.11594593,0.12782508,0.17701289,0.2433645,0.19480903,0.21409571,0.30357325,0.28595778,0.14973149,0.11111297,0.18929856,0.1653144,0.07068772,0.12285661,B
0.42841098,0.5643169,0.117697805,0.12569493,0.1753494,0.2425343,0.19599734,0.21456695,0.30072805,0.29024595,0.15171948,0.11092058,0.1904852,0.167036,0.0717934,0.122441866,B
0.42650145,0.56641126,0.11679467,0.125508,0.17557575,0.24216722,0.19489856,0.2153049,0.3017158,0.28930044,0.15164797,0.11124162,0.18970668,0.16699786,0.07056439,0.12293463,B
0.42537323,0.5672245,0.11724626,0.12618533,0.17647888,0.24000043,0.19413127,0.21801393,0.30036172,0.2916484,0.15038402,0.110699974,0.18871365,0.16699804,0.07187372,0.12194153,B
