h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,label
0.707101,0.622283,0.0038248217,7.2361494E-4,5.168678E-5,1.0337356E-4,7.753017E-4,0.21964297,0.0817168,0.056752086,0.22349364,0.06830408,0.0,0.0,0.0,0.0,0.004808677,0.028310686,0.1314584,0.59197676,0.7066844,0.19852512,0.12489822,0.15632977,0.16212566,0.117350824,0.07744836,0.06429615,0.04165397,0.023310937,0.008056922,0.00850276,0.014967914,0.08636765,0.18300831,0.19081767,0.11825582,0.14665766,0.301636,0.30014852,0.30270514,0.5105825,0.3371964,0.20457698,0.16255526,0.21559374,0.28346068,0.21145664,A
0.70228755,0.62321913,0.003845588,8.5746223E-4,2.3385332E-4,1.0393481E-4,9.354133E-4,0.22049771,0.08345965,0.058879074,0.23413914,0.06708992,0.0,0.0,0.0,0.0,0.0048311655,0.026779374,0.14192748,0.6005043,0.6983114,0.19055909,0.12705006,0.15715685,0.16368373,0.11956335,0.077650584,0.06357302,0.04268063,0.023419956,0.009278397,0.010206237,0.017128875,0.09292532,0.18519722,0.19457842,0.117008425,0.13861787,0.30010536,0.30682623,0.30131885,0.51624656,0.3008988,0.21460101,0.18118337,0.21866153,0.28619692,0.21296746,A
0.7195066,0.6075318,0.00355885,7.994518E-4,5.1577535E-5,5.1577535E-5,0.0011089171,0.21819876,0.077753134,0.05650319,0.22740535,0.068108134,0.0,0.0,0.0,0.0,0.004178844,0.027021097,0.13284326,0.5939614,0.7109062,0.18399481,0.12759614,0.15552841,0.15829335,0.10695327,0.07977508,0.06475637,0.041568503,0.016809637,0.004744402,0.0041160043,0.0129915625,0.07923932,0.17736708,0.18837765,0.123189494,0.14511852,0.29889807,0.30207685,0.302169,0.51731294,0.35510272,0.19270818,0.14728378,0.20030962,0.28549188,0.21049096,A
0.7160056,0.61317474,0.0018022435,1.8022435E-4,2.5746337E-4,1.02985345E-4,0.0012873168,0.22100654,0.08148716,0.051132225,0.21941027,0.07147183,0.0,0.0,0.0,0.0,0.0050101527,0.028316876,0.13137381,0.5920225,0.7091903,0.19961336,0.12725154,0.14316987,0.14913131,0.116565324,0.09433673,0.07236183,0.04023977,0.017662374,0.005136992,0.0039320188,0.008340101,0.07225066,0.17863227,0.18778825,0.12102212,0.16494364,0.2724584,0.29158625,0.30341652,0.49061552,0.45177057,0.17994675,0.12469358,0.15111901,0.2758579,0.20664413,A
0.65807354,0.67975396,0.0028702146,6.15046E-4,2.3064224E-4,7.688075E-5,9.2256896E-4,0.22264664,0.07447182,0.053970285,0.20491283,0.069602706,0.0,0.0,0.0,0.0,0.0046817036,0.026318766,0.12672232,0.5438684,0.74274594,0.21605429,0.1207753,0.14231746,0.15683706,0.117358916,0.0941402,0.07082658,0.04071184,0.01717679,0.004776603,0.004112307,0.010496524,0.076076984,0.18245697,0.18597102,0.12422408,0.16119011,0.28687456,0.29623017,0.29801002,0.5178437,0.39558205,0.17593087,0.13253003,0.18117914,0.2881524,0.19217767,A
0.6880257,0.63542676,0.0037421146,9.4207085E-4,0.0,5.233727E-5,0.001072914,0.22874004,0.085231245,0.06427017,0.23311019,0.069137536,0.0,0.0,0.0,0.0,0.0049049766,0.032075964,0.15973443,0.6513292,0.6481345,0.18067738,0.13378969,0.15653974,0.1661238,0.115170136,0.0800931,0.062828876,0.04550011,0.025622047,0.008228743,0.007551082,0.013428488,0.0943258,0.1835693,0.19224186,0.12677798,0.14011322,0.30162808,0.31818056,0.309508,0.5123807,0.29253587,0.21070603,0.17429058,0.22184981,0.29314202,0.19625175,A
0.66536576,0.65615696,0.004119018,8.395451E-4,5.247157E-5,1.0494314E-4,0.0011019029,0.2326327,0.08555489,0.062336225,0.23814222,0.06850164,0.0,0.0,0.0,0.0,0.0052798796,0.032258775,0.1589437,0.6610474,0.64066833,0.17243314,0.12758636,0.1629358,0.16905273,0.11731635,0.06867063,0.05833623,0.04555506,0.029457865,0.012298256,0.010688537,0.021822507,0.09869617,0.1925848,0.19230199,0.118350565,0.13484706,0.30414823,0.33242795,0.30975702,0.49013442,0.25296196,0.23293051,0.20969401,0.231328,0.29731396,0.20050311,A
0.6873797,0.6385867,0.004120419,8.866724E-4,7.82358E-5,5.21572E-5,0.0015125588,0.22591892,0.083973095,0.05901587,0.23043051,0.070881635,0.0,0.0,0.0,0.0,0.0044449335,0.034271084,0.16169252,0.6482517,0.65231013,0.18414265,0.12629409,0.15151426,0.16484906,0.11656678,0.08058858,0.063388616,0.04493248,0.026766231,0.007955787,0.00573332,0.015299005,0.085674435,0.18381988,0.19068125,0.12211388,0.1459896,0.3021322,0.31979558,0.29828426,0.5252195,0.2906811,0.20857644,0.16564651,0.21724588,0.296198,0.19313836,A
0.70341074,0.6260503,0.002768417,4.1396887E-4,1.0349222E-4,2.3285749E-4,0.0013195258,0.22452636,0.0774898,0.059404533,0.21942937,0.07190122,0.0,0.0,0.0,0.0,0.0041052024,0.033382613,0.16204411,0.6405389,0.6656793,0.18447952,0.12382436,0.14390485,0.14928298,0.10982212,0.08729124,0.07122049,0.041370258,0.018011972,0.005600896,0.0034687368,0.008245349,0.07029046,0.17479229,0.18722863,0.12504686,0.15962267,0.28462398,0.30184355,0.29605815,0.51298827,0.40575317,0.17734334,0.13525106,0.18280986,0.28266513,0.19401625,A
0.7111587,0.62548864,0.002171126,1.7879861E-4,0.0,0.0,0.0012515903,0.22176136,0.07575952,0.052490164,0.20091856,0.07049774,0.0,0.0,0.0,0.0,0.003960316,0.026119227,0.12786162,0.56491077,0.73297274,0.2035791,0.12462422,0.13656804,0.1445201,0.117300786,0.0956762,0.07288867,0.039823174,0.0148669,0.0047146617,0.0035202808,0.0074142856,0.07162649,0.17304492,0.17893142,0.12159428,0.17084311,0.26844206,0.28183272,0.2978296,0.48745555,0.48013115,0.18486285,0.12536882,0.13116544,0.27253115,0.19793895,A
