h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,label
0.8062692,0.09562811,0.119950846,0.14006764,0.20631938,0.21567677,0.38724008,0.13393804,0.083858,0.107039586,0.17554101,0.019529914,0.0104007395,0.0023801066,1.63021E-4,0.0,0.81910616,0.15701185,0.21714613,0.17153375,0.12728584,0.19333284,0.34053347,0.13505034,0.06750893,0.16558854,0.08956791,0.0062700785,0.0038984944,0.0011370608,6.4974905E-5,0.0,0.6303927,0.4907258,0.43151534,0.2769084,0.16793008,0.24204828,0.06894414,0.05956619,0.0448525,0.03754416,0.01775344,0.0076963915,0.0043009245,0.0022959823,8.0844446E-4,2.5870223E-4,A
0.8058714,0.09544975,0.11950805,0.13840868,0.20523003,0.2183201,0.38669556,0.13618891,0.08503646,0.1053734,0.17686278,0.020598084,0.010478581,0.0028726328,1.3057422E-4,0.0,0.8189752,0.15785319,0.21723929,0.17080423,0.12820894,0.19176021,0.34007907,0.13748293,0.0697014,0.16468665,0.09049468,0.006638229,0.003937381,0.0011063715,1.3016135E-4,0.0,0.6270587,0.48622423,0.43823093,0.2802745,0.16865762,0.24288513,0.070076734,0.05924581,0.045723367,0.037454247,0.018451488,0.007815129,0.0047020484,0.0023348103,0.0011674052,1.6213961E-4,A
0.8038036,0.09603166,0.12066857,0.1401755,0.2022579,0.21552393,0.39213198,0.13582973,0.082046784,0.10674904,0.1794508,0.020911964,0.010782732,0.0029080699,1.6337472E-4,0.0,0.81870955,0.15564883,0.21794088,0.17165284,0.12786949,0.19370715,0.34008536,0.13398485,0.06948085,0.16813976,0.08877025,0.006798454,0.0039034188,0.0014312535,6.505698E-5,0.0,0.6267946,0.4949517,0.43782946,0.27224278,0.16917092,0.23610952,0.06903749,0.058704473,0.044916347,0.036811385,0.017243227,0.008201835,0.00423008,0.0022280575,0.0013239182,1.2916276E-4,A
0.8037165,0.09661879,0.120675296,0.14149155,0.20502035,0.21389017,0.38997725,0.13307995,0.08359227,0.10804154,0.18253489,0.021078084,0.010669962,0.0031093445,1.636497E-4,0.0,0.8180027,0.15786646,0.22065426,0.17042401,0.12805448,0.19433232,0.33853224,0.13193591,0.07143131,0.16748849,0.09393707,0.0067843436,0.0040118955,0.0013699156,1.6308519E-4,0.0,0.6258814,0.50127923,0.43467212,0.26826712,0.16866285,0.23607637,0.06802638,0.059123922,0.045802493,0.035932377,0.017514616,0.007676756,0.0044512283,0.0025159116,0.0011289347,1.9353165E-4,A
0.80353415,0.0979336,0.12294978,0.13993324,0.20458843,0.21658833,0.38766885,0.13186774,0.0827534,0.11124496,0.18386729,0.020917855,0.01111466,0.0029835813,6.5573215E-5,0.0,0.8177674,0.15799336,0.2202836,0.17417774,0.1256899,0.19525656,0.3361193,0.1310738,0.07034979,0.17257887,0.09250541,0.006493325,0.0043071304,0.0012725611,9.788932E-5,0.0,0.6184213,0.5143507,0.4271896,0.2698413,0.16606116,0.24141149,0.067508735,0.059279896,0.046662346,0.035012893,0.016554484,0.007712518,0.0048082224,0.0021620865,0.0010971783,2.581596E-4,A
0.80530524,0.09653947,0.12391584,0.1393766,0.20745645,0.21405436,0.38238296,0.13254891,0.08396734,0.116562955,0.18306719,0.021369327,0.010996505,0.0032497135,1.9695233E-4,0.0,0.8190817,0.15767233,0.22103447,0.1693023,0.12548633,0.19868669,0.33264303,0.12698486,0.071017705,0.17725107,0.09056386,0.006482809,0.0043001547,0.0012705002,1.3030772E-4,0.0,0.61635876,0.5142697,0.42430168,0.2797241,0.18437612,0.2264433,0.06870757,0.060864538,0.045340516,0.034742698,0.01727412,0.008005081,0.0046993387,0.0024306925,0.0011991416,2.916831E-4,A
0.80784786,0.09692457,0.12442395,0.14102921,0.20226732,0.21936777,0.36931035,0.13112548,0.08437984,0.13300718,0.18553,0.024825368,0.011752435,0.003466308,9.903737E-5,0.0,0.8182533,0.15830316,0.21651196,0.16852152,0.124350734,0.2010375,0.32702056,0.12059638,0.06359549,0.19796872,0.09715615,0.008063699,0.0039828797,0.0018608538,3.2646556E-5,0.0,0.6001533,0.5249547,0.4242981,0.2693314,0.18022878,0.25738576,0.073925786,0.06374263,0.04536726,0.030125165,0.017983712,0.008942898,0.005907535,0.0024152354,0.0015340009,3.2638316E-4,A
0.8143732,0.10598602,0.12240968,0.1389001,0.20412742,0.22001697,0.33194488,0.12658235,0.094068855,0.16213357,0.19708394,0.028874932,0.013085518,0.004072534,3.3381424E-5,0.0,0.82095075,0.15552011,0.21548085,0.16538872,0.11861869,0.20098735,0.30113906,0.10523256,0.063738815,0.24052691,0.099174604,0.007914427,0.0051460057,0.0015307738,0.0,0.0,0.5687552,0.54634935,0.4232154,0.25467828,0.17540343,0.29988435,0.080654696,0.058610175,0.044187605,0.030126419,0.019547677,0.010874421,0.006077849,0.0032853237,0.0014126892,6.5706474E-5,A
0.8175136,0.10964805,0.12397039,0.1406071,0.20507438,0.22392488,0.30563262,0.12608352,0.09941781,0.18924268,0.19061789,0.028443422,0.012242747,0.0035889696,0.0,0.0,0.8221998,0.15443522,0.21621582,0.16733196,0.11366067,0.20628272,0.27607495,0.10431379,0.06927113,0.26281995,0.094087586,0.008239585,0.004754859,0.0014655387,3.256753E-5,0.0,0.5528791,0.5409768,0.43220776,0.24312304,0.1669946,0.3377808,0.08278844,0.059841108,0.043355953,0.029871099,0.019518422,0.011671489,0.0057698037,0.0036267338,0.0016814857,3.2970307E-5,A
0.82143366,0.10946864,0.12417839,0.14197081,0.20623799,0.22677802,0.28280237,0.12823278,0.1024656,0.19977106,0.19005391,0.024963005,0.011995645,0.0029821577,3.350739E-5,0.0,0.82548517,0.15066345,0.21780166,0.16799153,0.11376827,0.20985152,0.25223067,0.10393605,0.07048052,0.27393946,0.09345482,0.0067495154,0.0045753927,0.0012006349,0.0,0.0,0.5520912,0.542429,0.43128118,0.2348499,0.1677734,0.34399298,0.08229277,0.058367398,0.04292107,0.028362086,0.018404134,0.01104248,0.005324053,0.0036150978,0.001248852,0.0,A
