@relation FingerTrain
@attribute d_0 numeric
@attribute d_1 numeric
@attribute d_2 numeric
@attribute d_3 numeric
@attribute d_4 numeric
@attribute d_5 numeric
@attribute d_6 numeric
@attribute d_7 numeric
@attribute d_8 numeric
@attribute d_9 numeric
@attribute label {A,B,C}
@data
32.082333,105.045105,22.840021,17.022173,91.075264,46.5465,36.348087,123.8935,100.684,24.175463,A
29.106352,110.07455,20.133163,18.973879,97.39392,43.848053,36.152897,125.60002,102.31287,24.252502,A
26.89901,110.10202,19.012016,20.611416,102.816986,40.056683,36.78106,123.75331,100.15011,24.631224,A
28.877161,115.44636,22.55288,17.99417,100.080185,47.35536,36.63543,134.00009,110.589676,24.281357,A
29.51781,116.349396,23.082325,17.810719,99.87823,49.26726,37.73595,135.61478,112.20208,24.258324,A
26.951178,110.12435,20.269373,19.943739,99.36271,44.00429,38.377613,125.70325,102.42324,24.467735,A
27.779465,114.15182,25.050346,16.75749,96.38701,50.243614,38.095398,136.09666,113.21638,24.025785,A
27.36946,110.23794,28.051357,16.984098,90.569496,54.620323,42.620922,136.52975,117.4881,20.310741,A
22.681438,83.15016,22.97503,14.625385,74.14639,42.446922,36.038723,104.99477,86.85413,20.170433,A
32.124866,96.89438,30.199446,16.054583,79.625534,57.853897,47.4394,126.51694,105.16819,24.363983,A
32.535137,101.77668,28.77634,16.264969,82.651695,58.312878,47.20064,129.6674,107.602165,24.682276,A
32.62965,74.74709,24.265583,28.371544,63.622757,56.47176,59.461983,93.82581,82.85599,18.413727,A
38.124184,89.132904,24.752026,21.083797,75.55659,59.49674,58.011223,112.817276,94.97518,23.600258,A
40.871708,99.19046,24.911839,23.739944,77.42404,64.9678,60.424244,121.57887,102.0086,24.699533,A
40.332424,80.586006,22.952944,29.210104,57.892456,63.23543,66.50648,99.58392,91.58193,18.337282,A
46.93594,99.447464,27.370342,21.238998,77.358955,70.1208,67.09966,126.44864,108.51708,24.988945,A
43.284344,98.955185,27.890482,25.907804,79.10901,70.0435,66.01929,123.90973,103.72136,25.64583,A
