@relation mouseTest
@attribute x numeric
@attribute y numeric
@attribute label {A,B}
@data
76.0,92.0,A
299.0,51.0,A
312.0,51.0,A
411.0,84.0,A
469.0,220.0,A
473.0,241.0,A
486.0,336.0,A
455.0,416.0,A
381.0,445.0,A
373.0,447.0,A
325.0,444.0,A
306.0,430.0,A
264.0,433.0,A
149.0,464.0,A
98.0,443.0,A
94.0,442.0,A
50.0,393.0,A
12.0,269.0,A
25.0,183.0,A
28.0,176.0,A
95.0,105.0,A
196.0,57.0,A
199.0,57.0,A
312.0,56.0,A
334.0,62.0,A
411.0,112.0,A
463.0,259.0,A
462.0,266.0,A
415.0,342.0,A
413.0,343.0,A
356.0,389.0,A
229.0,403.0,A
224.0,403.0,A
115.0,375.0,A
110.0,373.0,A
62.0,329.0,A
85.0,206.0,A
126.0,145.0,A
191.0,110.0,A
262.0,102.0,A
267.0,102.0,A
323.0,148.0,B
387.0,170.0,B
388.0,174.0,B
383.0,253.0,B
345.0,291.0,B
277.0,323.0,B
179.0,318.0,B
132.0,245.0,B
169.0,181.0,B
270.0,160.0,B
321.0,223.0,B
298.0,272.0,B
243.0,281.0,B
219.0,264.0,B
218.0,263.0,B
203.0,239.0,B
203.0,236.0,B
229.0,211.0,B
266.0,216.0,B
268.0,217.0,B
279.0,262.0,B
277.0,265.0,B
256.0,268.0,B
255.0,267.0,B
253.0,246.0,B
253.0,245.0,B
265.0,233.0,B
319.0,206.0,B
324.0,204.0,B
340.0,197.0,B
362.0,194.0,B
373.0,197.0,B
