@relation A0VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B}
@data
30.0,30.0,30.0,22.0,26.0,28.0,33.0,45.0,47.0,58.0,81.0,91.0,66.0,56.0,78.0,83.0,58.0,34.0,27.0,32.0,33.0,30.0,27.0,23.0,22.0,27.0,36.0,45.0,55.0,62.0,56.0,45.0,39.0,35.0,33.0,32.0,28.0,23.0,17.0,9.0,4.0,6.0,10.0,10.0,11.0,12.0,16.0,21.0,23.0,21.0,15.0,9.0,5.0,8.0,15.0,22.0,28.0,31.0,30.0,26.0,21.0,18.0,16.0,A
20.0,19.0,20.0,19.0,13.0,11.0,15.0,27.0,38.0,50.0,76.0,102.0,90.0,70.0,92.0,124.0,118.0,94.0,73.0,60.0,50.0,43.0,36.0,24.0,13.0,8.0,9.0,15.0,26.0,40.0,46.0,46.0,44.0,38.0,31.0,30.0,26.0,20.0,15.0,13.0,13.0,16.0,20.0,28.0,39.0,46.0,46.0,41.0,31.0,18.0,9.0,7.0,8.0,12.0,14.0,16.0,21.0,27.0,29.0,26.0,25.0,24.0,24.0,A
9.0,10.0,19.0,32.0,26.0,17.0,12.0,20.0,9.0,17.0,27.0,58.0,55.0,22.0,45.0,70.0,53.0,34.0,15.0,17.0,12.0,13.0,13.0,11.0,3.0,1.0,4.0,3.0,11.0,20.0,19.0,15.0,16.0,14.0,7.0,12.0,12.0,8.0,8.0,8.0,5.0,7.0,5.0,9.0,17.0,23.0,20.0,20.0,16.0,9.0,7.0,7.0,3.0,4.0,3.0,2.0,8.0,9.0,8.0,6.0,8.0,7.0,6.0,A
23.0,20.0,37.0,55.0,22.0,8.0,9.0,11.0,12.0,12.0,27.0,58.0,66.0,52.0,62.0,82.0,78.0,62.0,47.0,37.0,36.0,35.0,29.0,24.0,18.0,11.0,9.0,14.0,28.0,44.0,48.0,42.0,35.0,30.0,28.0,28.0,27.0,26.0,26.0,23.0,19.0,16.0,12.0,8.0,6.0,7.0,11.0,17.0,24.0,27.0,27.0,28.0,27.0,27.0,27.0,28.0,29.0,29.0,27.0,23.0,19.0,17.0,17.0,A
4.0,11.0,38.0,54.0,23.0,11.0,8.0,6.0,10.0,10.0,9.0,36.0,39.0,13.0,22.0,35.0,20.0,14.0,6.0,2.0,4.0,4.0,4.0,3.0,5.0,7.0,4.0,4.0,12.0,21.0,19.0,6.0,5.0,4.0,3.0,6.0,4.0,2.0,6.0,3.0,7.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,9.0,4.0,8.0,3.0,4.0,3.0,4.0,4.0,6.0,3.0,7.0,5.0,7.0,5.0,5.0,A
15.0,11.0,36.0,42.0,18.0,24.0,33.0,41.0,43.0,49.0,65.0,79.0,61.0,45.0,66.0,82.0,64.0,41.0,26.0,18.0,14.0,12.0,13.0,13.0,12.0,11.0,12.0,18.0,28.0,39.0,42.0,42.0,40.0,35.0,31.0,28.0,25.0,23.0,22.0,21.0,19.0,14.0,10.0,7.0,10.0,16.0,22.0,24.0,23.0,19.0,13.0,7.0,2.0,0.0,3.0,4.0,3.0,6.0,10.0,13.0,15.0,17.0,17.0,A
20.0,22.0,26.0,42.0,54.0,64.0,76.0,84.0,89.0,100.0,118.0,126.0,100.0,86.0,103.0,102.0,65.0,34.0,25.0,28.0,32.0,35.0,34.0,33.0,34.0,38.0,51.0,64.0,75.0,78.0,70.0,62.0,61.0,62.0,61.0,58.0,56.0,55.0,51.0,43.0,34.0,25.0,20.0,15.0,9.0,11.0,22.0,31.0,35.0,34.0,26.0,22.0,22.0,17.0,13.0,12.0,11.0,10.0,9.0,7.0,7.0,8.0,9.0,A
7.0,10.0,24.0,35.0,26.0,26.0,31.0,34.0,25.0,37.0,48.0,76.0,54.0,21.0,60.0,67.0,37.0,11.0,4.0,7.0,7.0,13.0,7.0,7.0,8.0,5.0,18.0,22.0,32.0,36.0,23.0,15.0,17.0,19.0,20.0,18.0,16.0,19.0,21.0,14.0,10.0,7.0,5.0,3.0,2.0,4.0,9.0,13.0,17.0,16.0,7.0,6.0,9.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,5.0,A
18.0,21.0,40.0,53.0,29.0,16.0,21.0,27.0,33.0,45.0,65.0,87.0,78.0,58.0,70.0,92.0,83.0,63.0,47.0,40.0,40.0,39.0,37.0,35.0,30.0,24.0,20.0,16.0,17.0,29.0,38.0,41.0,42.0,39.0,34.0,30.0,26.0,22.0,20.0,18.0,14.0,11.0,8.0,6.0,9.0,14.0,17.0,20.0,21.0,17.0,12.0,6.0,3.0,5.0,8.0,8.0,10.0,12.0,13.0,13.0,14.0,14.0,15.0,A
7.0,12.0,23.0,38.0,24.0,31.0,38.0,39.0,38.0,46.0,68.0,92.0,84.0,66.0,77.0,93.0,81.0,61.0,43.0,32.0,30.0,29.0,28.0,26.0,21.0,16.0,11.0,5.0,5.0,12.0,16.0,17.0,20.0,22.0,23.0,22.0,19.0,16.0,15.0,15.0,15.0,12.0,8.0,5.0,7.0,14.0,15.0,16.0,20.0,25.0,27.0,25.0,20.0,19.0,20.0,22.0,23.0,24.0,26.0,28.0,30.0,31.0,33.0,A
