x,y,label
38.0,140.0,A
40.0,137.0,A
42.0,133.0,A
76.0,92.0,A
77.0,91.0,A
123.0,63.0,A
129.0,59.0,A
157.0,49.0,A
206.0,50.0,A
162.0,144.0,A
159.0,149.0,A
158.0,151.0,A
103.0,230.0,A
102.0,231.0,A
80.0,256.0,A
79.0,257.0,A
67.0,267.0,A
69.0,262.0,A
197.0,65.0,A
202.0,64.0,A
207.0,63.0,A
251.0,65.0,A
257.0,105.0,A
251.0,109.0,A
165.0,178.0,A
155.0,186.0,A
76.0,266.0,A
75.0,272.0,A
75.0,276.0,A
49.0,344.0,A
48.0,347.0,A
41.0,366.0,A
48.0,361.0,A
268.0,145.0,A
270.0,140.0,A
317.0,60.0,A
319.0,56.0,A
320.0,55.0,A
331.0,44.0,A
331.0,45.0,A
307.0,88.0,A
194.0,200.0,A
190.0,203.0,A
230.0,280.0,A
234.0,282.0,A
173.0,309.0,A
171.0,309.0,A
166.0,311.0,A
109.0,354.0,A
107.0,356.0,A
66.0,358.0,A
65.0,358.0,A
47.0,343.0,A
47.0,332.0,A
47.0,319.0,A
51.0,204.0,A
52.0,202.0,A
148.0,474.0,B
310.0,343.0,B
311.0,343.0,B
398.0,183.0,B
409.0,166.0,B
437.0,122.0,B
441.0,121.0,B
416.0,206.0,B
405.0,225.0,B
400.0,235.0,B
321.0,343.0,B
319.0,345.0,B
310.0,352.0,B
222.0,424.0,B
222.0,425.0,B
415.0,398.0,B
422.0,389.0,B
267.0,469.0,B
261.0,469.0,B
245.0,462.0,B
353.0,373.0,B
354.0,371.0,B
433.0,279.0,B
436.0,277.0,B
375.0,324.0,B
359.0,338.0,B
325.0,375.0,B
155.0,456.0,B
146.0,441.0,B
154.0,437.0,B
251.0,371.0,B
260.0,365.0,B
354.0,289.0,B
355.0,287.0,B
289.0,387.0,B
286.0,393.0,B
285.0,397.0,B
326.0,430.0,B
330.0,432.0,B
399.0,416.0,B
401.0,413.0,B
490.0,246.0,B
490.0,245.0,B
464.0,383.0,B
462.0,390.0,B
459.0,398.0,B
360.0,468.0,B
352.0,471.0,B
317.0,493.0,B
322.0,491.0,B
451.0,395.0,B
452.0,392.0,B
450.0,325.0,B
322.0,406.0,B
421.0,365.0,B
425.0,362.0,B
449.0,368.0,B
446.0,378.0,B
414.0,447.0,B
418.0,305.0,B
440.0,248.0,B
441.0,243.0,B
463.0,184.0,B
463.0,183.0,B
468.0,151.0,B
468.0,150.0,B
