h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,label
0.70964664,0.46683082,0.23454857,0.0334203,0.03361182,0.34914157,0.22168478,0.08209838,0.02936645,0.010597458,0.179678,0.10083546,0.0,0.0,0.0,0.0,0.7170162,0.5319285,0.37533784,0.22085905,0.10924323,0.035588786,0.008603882,0.0027115266,7.560987E-4,1.5643422E-4,2.607237E-5,2.607237E-5,7.821711E-5,2.607237E-5,0.0,0.0,0.0,0.0,0.10343387,0.20110597,0.098029725,0.07760521,0.16959499,0.35798532,0.40777504,0.19065529,0.18457562,0.24072316,0.18600613,0.18107882,0.6435709,0.009616211,A
0.68721616,0.49700144,0.2379917,0.031511094,0.027907094,0.35335165,0.23269732,0.07798039,0.032563593,0.011449882,0.16374288,0.0960323,0.0,0.0,0.0,0.0,0.6982455,0.5500024,0.3886621,0.21552914,0.10631658,0.03263854,0.0077748075,0.003000345,0.001252318,1.5653975E-4,2.6089958E-5,0.0,7.826988E-5,2.6089958E-5,0.0,0.0,0.0,0.0,0.09950639,0.20727849,0.093466066,0.08337237,0.17032124,0.35610095,0.40565544,0.19233663,0.18713082,0.23835437,0.18220319,0.18204424,0.64484435,0.009338659,A
0.70924014,0.47022146,0.23590502,0.037299998,0.032121208,0.35501722,0.22656414,0.08429038,0.03158109,0.009086712,0.14993075,0.09881005,0.0,0.0,0.0,0.0,0.70791763,0.53850436,0.3854615,0.21930666,0.104869924,0.033210114,0.008967252,0.0028674353,6.516898E-4,1.3033797E-4,2.6067593E-5,2.6067593E-5,2.6067593E-5,0.0,2.6067593E-5,0.0,0.0,0.0,0.10023949,0.20549496,0.094865255,0.08272346,0.16946764,0.35748637,0.406173,0.19594075,0.18690406,0.24100474,0.1853515,0.18033555,0.6418831,0.009474583,A
0.71915364,0.4737758,0.22485127,0.029816959,0.030099435,0.33420104,0.23420437,0.07790073,0.028687054,0.009792517,0.15335333,0.094629616,0.0,0.0,0.0,0.0,0.7126976,0.5401873,0.37134463,0.22450796,0.10417731,0.031812448,0.009312229,0.0026011812,8.0636615E-4,1.3005907E-4,5.2023624E-5,2.6011812E-5,5.2023624E-5,0.0,0.0,0.0,0.0,0.0,0.10027198,0.20554763,0.09657879,0.08236201,0.16436662,0.36340153,0.40454283,0.19236335,0.1843813,0.24097045,0.18362679,0.17905994,0.64336884,0.009014551,A
0.719856,0.46249443,0.24049836,0.036941558,0.027012724,0.340291,0.23186186,0.07861113,0.030732097,0.0093299495,0.15028784,0.092826694,0.0,0.0,0.0,0.0,0.7040681,0.5467516,0.38479745,0.2110146,0.1077089,0.03212508,0.010656251,0.0026314945,9.119041E-4,1.5632641E-4,5.2108804E-5,0.0,7.8163204E-5,2.6054402E-5,0.0,0.0,0.0,0.0,0.10187072,0.20497409,0.09662212,0.08413679,0.16449617,0.3594502,0.40724432,0.19169351,0.18481465,0.2435434,0.18179272,0.1813951,0.6425172,0.0091850655,A
0.6986236,0.47996405,0.23176631,0.034557156,0.027811958,0.35180527,0.23170237,0.07796939,0.033182543,0.009398524,0.17393662,0.10440673,0.0,0.0,0.0,0.0,0.7140605,0.536359,0.3715458,0.22878575,0.104902446,0.030749515,0.009451374,0.0027338688,8.071422E-4,7.8110534E-5,5.207369E-5,5.207369E-5,2.6036845E-5,0.0,2.6036845E-5,0.0,0.0,0.0,0.094820164,0.21115783,0.09788273,0.081853986,0.16903763,0.3589166,0.40386072,0.19632229,0.18419136,0.24186303,0.18363453,0.17977649,0.6423032,0.008988825,A
0.7120889,0.45550665,0.24459273,0.035809573,0.029544486,0.35866815,0.22280805,0.07661213,0.031071005,0.011544294,0.17278278,0.09140027,0.0,0.0,0.0,0.0,0.7063868,0.5444229,0.37831542,0.22310106,0.10278129,0.032523084,0.009746501,0.002553896,0.0011987676,2.8666182E-4,2.6060165E-5,0.0,5.212033E-5,2.6060165E-5,0.0,0.0,0.0,0.0,0.102445476,0.2056079,0.090735145,0.08750883,0.16330732,0.35891762,0.40783018,0.19716372,0.1852144,0.23834904,0.19043228,0.18067366,0.64072233,0.0101170875,A
0.71178,0.4697627,0.2238907,0.035552364,0.03268524,0.35256097,0.22073686,0.08505808,0.03309938,0.012328642,0.16995688,0.099202566,0.0,0.0,0.0,0.0,0.7177788,0.5437671,0.35168436,0.23110686,0.104116224,0.033026394,0.009035523,0.002310809,8.8278094E-4,1.8174903E-4,5.192829E-5,5.192829E-5,5.192829E-5,0.0,0.0,0.0,0.0,0.0,0.09596699,0.21148576,0.09608645,0.08119365,0.16680735,0.36208624,0.40242422,0.19388516,0.19093847,0.2356567,0.18850942,0.18345225,0.64070904,0.008999394,A
0.71700245,0.4759253,0.23286614,0.034165446,0.028565584,0.33898038,0.22251584,0.077045284,0.030516097,0.010413225,0.14657165,0.10155254,0.0,0.0,0.0,0.0,0.70739007,0.53770363,0.37539485,0.2366106,0.110586315,0.03523429,0.009451821,0.002599251,0.0011027125,2.1004048E-4,0.0,5.251012E-5,2.625506E-5,2.625506E-5,0.0,0.0,0.0,0.0,0.09651059,0.20841843,0.094645455,0.08258163,0.16353624,0.35842255,0.40766993,0.1939339,0.18476698,0.24274476,0.18448919,0.1781398,0.6430732,0.008770082,A
0.7051773,0.4684813,0.23419313,0.030826557,0.028862275,0.36459613,0.22646274,0.081707805,0.028577138,0.008649178,0.16069096,0.09495087,0.0,0.0,0.0,0.0,0.7081748,0.5470484,0.36961392,0.22463919,0.10462148,0.033397593,0.008831345,0.0029698326,0.0011723024,1.5630698E-4,0.0,0.0,5.210233E-5,2.6051164E-5,2.6051164E-5,0.0,0.0,0.0,0.10199785,0.20189306,0.096364364,0.07930521,0.1644026,0.3587579,0.40977666,0.1911815,0.18618277,0.24608816,0.17983519,0.17931944,0.64285225,0.008886627,A
