h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,label
0.0,8.203602E-5,0.13978939,0.37469953,0.10800042,0.08814771,0.23372063,0.38126242,0.34233633,0.23544338,0.15369448,0.17432655,0.107795335,0.24143201,0.56928897,1.6407204E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.0,4.024294E-5,0.11404849,0.3798531,0.10479262,0.08382604,0.20028912,0.3735752,0.34661245,0.23670897,0.15203783,0.1675716,0.11384728,0.22049107,0.5967223,2.4145763E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.0,7.854012E-5,0.06565954,0.4037355,0.10622551,0.07802961,0.17757921,0.33623025,0.35928178,0.24378854,0.1593579,0.15103266,0.11620011,0.20263352,0.61599016,1.1781018E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.0,1.2075251E-4,0.11463439,0.36934167,0.105175436,0.08098468,0.18599913,0.35275835,0.36012423,0.24299431,0.16261338,0.16031909,0.124576345,0.22629021,0.6051311,2.0125418E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.0,7.943088E-5,0.09555535,0.3791633,0.1067551,0.0812975,0.17887834,0.35640636,0.35402343,0.24079472,0.1604901,0.15540652,0.11537335,0.20953867,0.6161453,2.3829265E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.0,1.988495E-4,0.11075918,0.36234355,0.10765712,0.083158866,0.187356,0.34516296,0.35168523,0.2478858,0.16206235,0.14734748,0.12416163,0.19371918,0.6305916,2.386194E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.0,1.1875744E-4,0.1043482,0.36917728,0.104071096,0.08293228,0.1802342,0.35084903,0.35504514,0.24685712,0.15557224,0.14971355,0.1224785,0.19013065,0.628306,3.562723E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.0,8.002625E-5,0.10143327,0.38208532,0.10615482,0.07814563,0.1917829,0.34743395,0.3594779,0.24636081,0.15925224,0.15357037,0.118518874,0.22343329,0.60499847,2.800919E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.0,8.052882E-5,0.0905144,0.39310145,0.1042043,0.08250178,0.19065198,0.356944,0.36060807,0.2457337,0.16001077,0.15687014,0.122202486,0.24569343,0.5830287,1.6105764E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
0.0,8.064343E-5,0.09886885,0.38438693,0.10572354,0.0841111,0.18592343,0.3585407,0.3670486,0.2354385,0.16285941,0.15886757,0.12148933,0.2473334,0.58587456,1.6128687E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
