@relation mouseTestNum
@attribute x numeric
@attribute y numeric
@attribute label numeric
@data
54.0,160.0,0.0
57.0,148.0,0.0
166.0,8.0,0.0
89.0,185.0,0.0
101.0,68.0,0.0
74.0,63.0,0.0
149.0,76.0,0.0
175.0,96.0,0.0
102.0,195.0,0.0
131.0,87.0,0.0
152.0,93.0,0.0
181.0,115.0,0.0
142.0,143.0,0.0
119.0,127.0,0.0
114.0,154.0,0.0
191.0,232.0,0.0
153.0,284.0,0.0
118.0,327.0,0.0
64.0,323.0,0.0
60.0,294.0,0.0
114.0,214.0,0.0
104.0,292.0,0.0
75.0,366.0,0.0
70.0,437.0,0.0
112.0,427.0,0.0
133.0,337.0,0.0
167.0,271.0,0.0
212.0,136.0,0.0
241.0,86.0,0.0
272.0,35.0,0.0
212.0,322.0,0.0
186.0,372.0,0.0
158.0,389.0,0.0
172.0,253.0,0.0
222.0,163.0,0.0
250.0,154.0,0.0
216.0,287.0,0.0
250.0,260.0,0.0
251.0,258.0,0.0
373.0,155.0,1.0
357.0,197.0,1.0
325.0,260.0,1.0
314.0,195.0,1.0
352.0,74.0,1.0
401.0,158.0,1.0
257.0,396.0,1.0
204.0,424.0,1.0
297.0,331.0,1.0
321.0,297.0,1.0
326.0,288.0,1.0
294.0,459.0,1.0
274.0,491.0,1.0
366.0,414.0,1.0
439.0,270.0,1.0
400.0,260.0,1.0
325.0,349.0,1.0
317.0,369.0,1.0
341.0,356.0,1.0
385.0,307.0,1.0
395.0,331.0,1.0
382.0,374.0,1.0
386.0,397.0,1.0
405.0,416.0,1.0
414.0,412.0,1.0
424.0,353.0,1.0
412.0,261.0,1.0
399.0,190.0,1.0
408.0,174.0,1.0
417.0,164.0,1.0
424.0,148.0,1.0
438.0,111.0,1.0
459.0,111.0,1.0
469.0,113.0,1.0
483.0,160.0,1.0
477.0,256.0,1.0
468.0,393.0,1.0
