@relation A012VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B}
@data
7.0,11.0,44.0,71.0,61.0,49.0,72.0,77.0,66.0,65.0,105.0,164.0,175.0,129.0,116.0,125.0,109.0,80.0,61.0,58.0,57.0,47.0,34.0,25.0,22.0,24.0,26.0,29.0,41.0,53.0,54.0,48.0,41.0,36.0,30.0,24.0,20.0,16.0,15.0,18.0,20.0,21.0,22.0,22.0,21.0,18.0,13.0,11.0,11.0,11.0,14.0,16.0,13.0,12.0,13.0,11.0,6.0,6.0,7.0,8.0,10.0,10.0,10.0,A
13.0,25.0,53.0,104.0,101.0,80.0,107.0,114.0,97.0,137.0,216.0,301.0,282.0,197.0,176.0,192.0,172.0,146.0,135.0,131.0,115.0,85.0,63.0,52.0,44.0,42.0,48.0,63.0,85.0,103.0,101.0,85.0,68.0,55.0,42.0,31.0,29.0,34.0,40.0,44.0,45.0,42.0,36.0,29.0,21.0,22.0,34.0,45.0,54.0,61.0,71.0,79.0,78.0,69.0,58.0,47.0,36.0,27.0,22.0,22.0,21.0,18.0,17.0,A
5.0,10.0,40.0,100.0,100.0,40.0,72.0,103.0,50.0,49.0,106.0,211.0,207.0,62.0,67.0,94.0,66.0,49.0,40.0,56.0,55.0,26.0,15.0,14.0,11.0,5.0,11.0,17.0,36.0,57.0,51.0,35.0,26.0,17.0,14.0,7.0,5.0,9.0,14.0,16.0,19.0,18.0,14.0,11.0,7.0,9.0,15.0,17.0,22.0,26.0,32.0,41.0,41.0,31.0,26.0,23.0,13.0,12.0,7.0,8.0,11.0,8.0,8.0,A
9.0,17.0,54.0,95.0,84.0,68.0,91.0,89.0,69.0,92.0,155.0,237.0,234.0,156.0,130.0,131.0,114.0,97.0,90.0,91.0,87.0,68.0,49.0,36.0,30.0,34.0,41.0,49.0,62.0,74.0,75.0,65.0,51.0,38.0,33.0,31.0,27.0,23.0,25.0,30.0,32.0,33.0,33.0,31.0,30.0,27.0,22.0,18.0,16.0,15.0,15.0,20.0,21.0,20.0,21.0,19.0,15.0,13.0,13.0,10.0,11.0,11.0,11.0,A
6.0,11.0,55.0,96.0,78.0,24.0,48.0,73.0,36.0,21.0,53.0,134.0,153.0,52.0,32.0,41.0,21.0,13.0,11.0,21.0,30.0,16.0,7.0,4.0,4.0,4.0,9.0,7.0,15.0,24.0,23.0,19.0,14.0,4.0,6.0,4.0,4.0,3.0,5.0,10.0,7.0,7.0,8.0,5.0,4.0,8.0,3.0,4.0,5.0,3.0,3.0,9.0,7.0,5.0,10.0,9.0,3.0,5.0,7.0,5.0,8.0,7.0,6.0,A
10.0,23.0,56.0,83.0,81.0,68.0,93.0,101.0,81.0,111.0,179.0,264.0,260.0,179.0,149.0,149.0,133.0,119.0,116.0,114.0,102.0,79.0,58.0,46.0,44.0,45.0,48.0,57.0,74.0,88.0,88.0,76.0,59.0,43.0,33.0,25.0,20.0,23.0,30.0,36.0,37.0,35.0,30.0,19.0,12.0,14.0,22.0,27.0,28.0,29.0,34.0,40.0,40.0,38.0,33.0,25.0,19.0,17.0,12.0,5.0,3.0,3.0,4.0,A
5.0,20.0,63.0,89.0,72.0,29.0,53.0,89.0,48.0,36.0,75.0,178.0,190.0,59.0,49.0,57.0,41.0,27.0,35.0,40.0,44.0,24.0,12.0,6.0,8.0,6.0,8.0,13.0,30.0,41.0,36.0,30.0,22.0,11.0,7.0,5.0,4.0,6.0,8.0,11.0,14.0,13.0,13.0,5.0,4.0,6.0,7.0,8.0,12.0,8.0,13.0,18.0,17.0,18.0,20.0,14.0,6.0,11.0,8.0,5.0,4.0,3.0,2.0,A
6.0,12.0,45.0,84.0,64.0,62.0,84.0,91.0,75.0,90.0,146.0,212.0,214.0,149.0,120.0,124.0,106.0,87.0,82.0,83.0,80.0,65.0,48.0,36.0,31.0,30.0,31.0,33.0,41.0,51.0,53.0,47.0,39.0,31.0,24.0,19.0,14.0,11.0,14.0,17.0,17.0,18.0,16.0,12.0,13.0,12.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,7.0,3.0,5.0,A
6.0,15.0,46.0,78.0,61.0,21.0,43.0,73.0,47.0,27.0,46.0,122.0,143.0,47.0,26.0,43.0,29.0,13.0,12.0,18.0,27.0,14.0,11.0,5.0,2.0,2.0,3.0,6.0,12.0,15.0,18.0,11.0,9.0,6.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,A
8.0,16.0,41.0,76.0,72.0,46.0,66.0,73.0,67.0,72.0,110.0,167.0,174.0,120.0,95.0,99.0,87.0,68.0,60.0,58.0,53.0,45.0,33.0,22.0,17.0,18.0,23.0,28.0,35.0,40.0,39.0,33.0,27.0,22.0,18.0,15.0,10.0,8.0,8.0,7.0,6.0,6.0,9.0,11.0,8.0,6.0,4.0,4.0,5.0,7.0,8.0,7.0,9.0,7.0,5.0,7.0,8.0,9.0,9.0,7.0,6.0,7.0,7.0,A
