@relation accData
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute label {A,B}
@data
135.0,244.0,241.0,A
137.0,244.0,243.0,A
136.0,243.0,243.0,A
136.0,243.0,241.0,A
136.0,243.0,241.0,A
136.0,242.0,242.0,A
137.0,244.0,241.0,A
137.0,244.0,241.0,A
137.0,244.0,242.0,A
137.0,244.0,242.0,A
136.0,244.0,242.0,A
136.0,243.0,240.0,A
136.0,243.0,240.0,A
137.0,244.0,242.0,A
137.0,244.0,242.0,A
140.0,246.0,249.0,A
141.0,249.0,245.0,A
139.0,247.0,240.0,A
136.0,242.0,239.0,A
134.0,239.0,234.0,A
133.0,237.0,230.0,A
133.0,237.0,229.0,A
134.0,239.0,230.0,A
136.0,241.0,232.0,A
137.0,241.0,234.0,A
143.0,238.0,234.0,A
132.0,243.0,231.0,A
132.0,242.0,232.0,A
135.0,242.0,233.0,A
138.0,243.0,235.0,A
139.0,243.0,238.0,A
139.0,243.0,240.0,A
143.0,241.0,238.0,A
137.0,245.0,234.0,A
136.0,240.0,233.0,A
135.0,239.0,232.0,A
135.0,240.0,232.0,A
136.0,240.0,232.0,A
135.0,240.0,233.0,A
136.0,240.0,233.0,A
137.0,242.0,233.0,A
138.0,244.0,234.0,A
138.0,243.0,234.0,A
140.0,245.0,241.0,A
141.0,247.0,237.0,A
142.0,247.0,233.0,A
154.0,248.0,227.0,A
130.0,239.0,231.0,A
132.0,239.0,227.0,A
133.0,235.0,225.0,A
136.0,235.0,224.0,A
136.0,236.0,228.0,A
134.0,233.0,229.0,A
141.0,233.0,232.0,A
139.0,229.0,242.0,A
132.0,247.0,237.0,A
139.0,245.0,233.0,A
134.0,241.0,233.0,A
142.0,241.0,230.0,A
135.0,250.0,228.0,A
137.0,245.0,228.0,A
145.0,244.0,228.0,A
133.0,239.0,236.0,A
136.0,237.0,235.0,A
133.0,243.0,236.0,A
137.0,238.0,240.0,A
137.0,237.0,242.0,A
136.0,243.0,245.0,A
140.0,245.0,252.0,A
143.0,243.0,251.0,A
131.0,243.0,247.0,A
135.0,242.0,244.0,A
133.0,243.0,241.0,A
139.0,238.0,242.0,A
133.0,245.0,238.0,A
141.0,241.0,239.0,A
140.0,238.0,240.0,A
135.0,241.0,239.0,A
135.0,237.0,245.0,A
131.0,241.0,246.0,A
131.0,245.0,250.0,A
138.0,241.0,252.0,A
137.0,242.0,251.0,A
136.0,240.0,252.0,A
134.0,244.0,249.0,A
137.0,243.0,254.0,A
136.0,242.0,256.0,A
137.0,245.0,255.0,A
136.0,245.0,256.0,A
136.0,247.0,257.0,A
137.0,248.0,258.0,A
136.0,245.0,259.0,A
134.0,249.0,259.0,A
137.0,245.0,257.0,A
137.0,245.0,256.0,A
137.0,245.0,254.0,A
136.0,244.0,253.0,A
136.0,244.0,254.0,A
136.0,245.0,253.0,A
136.0,244.0,252.0,A
385.0,260.0,253.0,B
384.0,259.0,252.0,B
384.0,258.0,250.0,B
385.0,259.0,252.0,B
387.0,260.0,253.0,B
389.0,260.0,252.0,B
389.0,261.0,252.0,B
388.0,260.0,253.0,B
386.0,260.0,253.0,B
386.0,259.0,253.0,B
386.0,259.0,252.0,B
387.0,259.0,251.0,B
387.0,260.0,251.0,B
386.0,259.0,251.0,B
384.0,259.0,251.0,B
383.0,258.0,251.0,B
383.0,258.0,251.0,B
385.0,259.0,251.0,B
387.0,260.0,251.0,B
389.0,261.0,250.0,B
389.0,260.0,250.0,B
387.0,260.0,250.0,B
387.0,260.0,251.0,B
385.0,259.0,251.0,B
385.0,260.0,252.0,B
387.0,261.0,252.0,B
388.0,261.0,253.0,B
388.0,261.0,253.0,B
387.0,260.0,252.0,B
386.0,259.0,251.0,B
385.0,258.0,250.0,B
384.0,258.0,251.0,B
385.0,259.0,251.0,B
386.0,259.0,249.0,B
386.0,259.0,251.0,B
385.0,259.0,251.0,B
386.0,260.0,250.0,B
387.0,260.0,251.0,B
386.0,260.0,250.0,B
387.0,260.0,249.0,B
387.0,258.0,248.0,B
387.0,260.0,249.0,B
388.0,260.0,250.0,B
387.0,260.0,250.0,B
386.0,260.0,250.0,B
386.0,260.0,250.0,B
386.0,259.0,249.0,B
386.0,259.0,249.0,B
386.0,260.0,249.0,B
386.0,260.0,249.0,B
386.0,260.0,250.0,B
385.0,259.0,250.0,B
386.0,260.0,250.0,B
387.0,260.0,249.0,B
387.0,260.0,249.0,B
387.0,259.0,248.0,B
387.0,259.0,247.0,B
386.0,259.0,247.0,B
386.0,259.0,247.0,B
385.0,258.0,249.0,B
385.0,259.0,250.0,B
386.0,259.0,249.0,B
384.0,258.0,249.0,B
382.0,258.0,248.0,B
383.0,257.0,248.0,B
383.0,258.0,247.0,B
385.0,258.0,246.0,B
386.0,260.0,247.0,B
386.0,259.0,248.0,B
387.0,260.0,247.0,B
387.0,260.0,247.0,B
387.0,260.0,248.0,B
387.0,259.0,246.0,B
387.0,259.0,245.0,B
387.0,259.0,245.0,B
388.0,260.0,245.0,B
387.0,260.0,245.0,B
385.0,259.0,247.0,B
385.0,259.0,247.0,B
386.0,260.0,246.0,B
387.0,259.0,246.0,B
387.0,259.0,245.0,B
386.0,259.0,245.0,B
386.0,259.0,245.0,B
385.0,259.0,245.0,B
385.0,259.0,245.0,B
386.0,259.0,244.0,B
387.0,259.0,244.0,B
386.0,259.0,245.0,B
386.0,259.0,245.0,B
385.0,259.0,246.0,B
385.0,259.0,246.0,B
385.0,259.0,246.0,B
386.0,259.0,245.0,B
387.0,259.0,246.0,B
387.0,260.0,247.0,B
386.0,260.0,247.0,B
386.0,259.0,246.0,B
387.0,260.0,245.0,B
387.0,260.0,244.0,B
385.0,260.0,253.0,B
384.0,259.0,252.0,B
384.0,258.0,250.0,B
385.0,259.0,252.0,B
387.0,260.0,253.0,B
389.0,260.0,252.0,B
389.0,261.0,252.0,B
388.0,260.0,253.0,B
386.0,260.0,253.0,B
386.0,259.0,253.0,B
386.0,259.0,252.0,B
387.0,259.0,251.0,B
387.0,260.0,251.0,B
386.0,259.0,251.0,B
384.0,259.0,251.0,B
383.0,258.0,251.0,B
383.0,258.0,251.0,B
385.0,259.0,251.0,B
387.0,260.0,251.0,B
389.0,261.0,250.0,B
389.0,260.0,250.0,B
387.0,260.0,250.0,B
387.0,260.0,251.0,B
385.0,259.0,251.0,B
385.0,260.0,252.0,B
387.0,261.0,252.0,B
388.0,261.0,253.0,B
388.0,261.0,253.0,B
387.0,260.0,252.0,B
386.0,259.0,251.0,B
385.0,258.0,250.0,B
384.0,258.0,251.0,B
385.0,259.0,251.0,B
386.0,259.0,249.0,B
386.0,259.0,251.0,B
385.0,259.0,251.0,B
386.0,260.0,250.0,B
387.0,260.0,251.0,B
386.0,260.0,250.0,B
387.0,260.0,249.0,B
387.0,258.0,248.0,B
387.0,260.0,249.0,B
388.0,260.0,250.0,B
387.0,260.0,250.0,B
386.0,260.0,250.0,B
386.0,260.0,250.0,B
386.0,259.0,249.0,B
386.0,259.0,249.0,B
386.0,260.0,249.0,B
386.0,260.0,249.0,B
386.0,260.0,250.0,B
385.0,259.0,250.0,B
386.0,260.0,250.0,B
387.0,260.0,249.0,B
387.0,260.0,249.0,B
387.0,259.0,248.0,B
387.0,259.0,247.0,B
386.0,259.0,247.0,B
386.0,259.0,247.0,B
385.0,258.0,249.0,B
385.0,259.0,250.0,B
386.0,259.0,249.0,B
384.0,258.0,249.0,B
382.0,258.0,248.0,B
383.0,257.0,248.0,B
383.0,258.0,247.0,B
385.0,258.0,246.0,B
386.0,260.0,247.0,B
386.0,259.0,248.0,B
387.0,260.0,247.0,B
387.0,260.0,247.0,B
387.0,260.0,248.0,B
387.0,259.0,246.0,B
387.0,259.0,245.0,B
387.0,259.0,245.0,B
388.0,260.0,245.0,B
387.0,260.0,245.0,B
385.0,259.0,247.0,B
385.0,259.0,247.0,B
386.0,260.0,246.0,B
387.0,259.0,246.0,B
387.0,259.0,245.0,B
386.0,259.0,245.0,B
386.0,259.0,245.0,B
385.0,259.0,245.0,B
385.0,259.0,245.0,B
386.0,259.0,244.0,B
387.0,259.0,244.0,B
386.0,259.0,245.0,B
386.0,259.0,245.0,B
385.0,259.0,246.0,B
