m_x,sd_x,label
253.65,66.75191,0.0
261.65,65.10419,0.0
267.3,67.250595,0.0
262.25,65.997505,0.0
266.6,65.31736,0.0
267.9,59.62947,0.0
261.35,64.86771,0.0
263.9,61.713173,0.0
264.05,61.22991,0.0
259.4,66.61706,0.0
247.4,7.910019,1.0
262.45,74.15239,1.0
258.85,13.243769,1.0
262.5,14.369194,1.0
262.6,33.177986,1.0
252.05,14.691475,1.0
271.15,40.408806,1.0
247.9,48.5342,1.0
261.9,15.064419,1.0
267.15,18.616001,1.0
268.75,26.936327,1.0
262.95,15.968641,1.0
260.5,23.84048,1.0
261.85,15.523412,1.0
261.0,28.250753,1.0
257.95,22.432293,1.0
272.0,15.44772,1.0
266.5,37.898064,1.0
265.75,15.158377,1.0
250.35,52.05491,1.0
260.3,8.265971,1.0
