h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,label
0.0,0.0,0.085655786,0.22664149,0.1877416,0.11526363,0.24763307,0.4364306,0.4859741,0.23787643,0.1638357,0.20995805,0.13076445,0.40196553,0.31402898,0.0,A
0.0,0.0,0.08394188,0.22775188,0.18710901,0.11387594,0.24600746,0.43290564,0.4903285,0.23622617,0.16628164,0.20831582,0.12875865,0.40663958,0.30979654,0.0,A
0.0,0.0,0.083964735,0.22909473,0.18886779,0.11425126,0.24800265,0.43670124,0.48703778,0.23675095,0.16598369,0.20718352,0.1319325,0.3628884,0.35595128,0.0,A
0.0,0.0,0.0853189,0.22483939,0.1921155,0.11398402,0.24356896,0.4405888,0.4865883,0.23773447,0.16459191,0.20780098,0.13178346,0.35362104,0.36448672,0.0,A
0.0,0.0,0.08309838,0.22714119,0.18931942,0.113675885,0.24512547,0.4361296,0.48549163,0.23754427,0.16379604,0.206335,0.131955,0.42020908,0.29482445,0.0,A
0.0,0.0,0.08335726,0.22813787,0.18890102,0.11307959,0.24527241,0.43375245,0.48662958,0.2364736,0.16524103,0.20574087,0.13215072,0.42486942,0.28964543,0.0,A
0.0,0.0,0.0874819,0.2237007,0.18912953,0.11176603,0.24903883,0.43121198,0.48774847,0.23967932,0.164213,0.20708968,0.13048504,0.41852182,0.2978179,0.0,A
0.0,0.0,0.0830797,0.22833219,0.18866806,0.11507234,0.24266355,0.43268043,0.48899424,0.23929146,0.16565359,0.20755173,0.12851852,0.4121529,0.30454126,0.0,A
0.0,0.0,0.08416192,0.22763796,0.18907957,0.114409596,0.2452297,0.4308078,0.4929062,0.23615962,0.16625671,0.20241047,0.1339419,0.40461004,0.31230614,0.0,A
0.0,0.0,0.08356306,0.22791457,0.18813266,0.11505181,0.24193296,0.43482262,0.48858082,0.2351974,0.16565272,0.20791838,0.12848084,0.41886774,0.29695407,0.0,A
0.0,0.0,0.08442489,0.22749932,0.18925881,0.11459475,0.24790834,0.43687135,0.48622486,0.23852779,0.16331442,0.20865372,0.13098958,0.39165884,0.32523444,0.0,A
0.0,0.0,0.08219131,0.23186824,0.18699051,0.113419786,0.24788392,0.43216994,0.49217594,0.23757303,0.16467842,0.20647134,0.13235125,0.35826114,0.35935986,0.0,A
0.0,0.0,0.081999734,0.22602491,0.19036554,0.11526219,0.24284537,0.43009913,0.49241892,0.23405668,0.16458818,0.20684959,0.13010624,0.42488477,0.29002675,0.0,A
0.0,0.0,0.08422641,0.22673748,0.19035168,0.110505044,0.24484617,0.4351136,0.48746032,0.23781325,0.16356768,0.20740752,0.13017191,0.41502562,0.3010673,0.0,A
0.0,0.0,0.08393947,0.22592264,0.18925457,0.117059015,0.24442565,0.43836933,0.48758397,0.2343715,0.16665386,0.20860246,0.13011251,0.38890123,0.32916775,0.0,A
0.0,0.0,0.08375517,0.22670352,0.18857554,0.11324643,0.24663119,0.43137285,0.49048176,0.23668842,0.16628857,0.20580685,0.13144675,0.41679576,0.29781958,0.0,A
0.0,0.0,0.08175771,0.22732939,0.18811433,0.116971225,0.24274583,0.43498805,0.48818743,0.2367646,0.16549511,0.20546836,0.13137676,0.4172128,0.2985146,0.0,A
0.0,0.0,0.08210197,0.22907673,0.18459253,0.117571376,0.2476118,0.43207797,0.48810443,0.23632225,0.16411969,0.20965701,0.12789205,0.41783965,0.29824626,0.0,A
0.0,0.0,0.0816027,0.22858867,0.18629177,0.116105855,0.24775709,0.42465422,0.49462947,0.23773053,0.1637952,0.2069768,0.13127208,0.41610214,0.29995418,0.0,A
0.0,0.0,0.083038814,0.22948372,0.18503627,0.11379393,0.24945349,0.43166703,0.48774245,0.23761488,0.16485585,0.20648059,0.12976132,0.41696355,0.29971492,0.0,A
0.0,0.0,0.08388976,0.22581486,0.18751828,0.1167877,0.24399309,0.43661478,0.4892515,0.2357686,0.16448973,0.20725705,0.13205573,0.4050665,0.3106747,0.0,A
0.0,0.0,0.0838628,0.22702464,0.18752007,0.11517945,0.24741001,0.43113157,0.4909793,0.23685858,0.16662824,0.20790544,0.13003586,0.4026005,0.3142639,0.0,A
0.0,0.0,0.081442446,0.23059209,0.18361416,0.11535924,0.24677102,0.4351883,0.48924452,0.23543733,0.16326408,0.20872523,0.1309062,0.40738076,0.30786338,0.0,A
0.0,0.0,0.082293,0.22798583,0.18690273,0.11800824,0.24565326,0.43462706,0.49172917,0.23580515,0.16593853,0.2065567,0.13229434,0.3654367,0.35284126,0.0,A
0.0,0.0,0.07772342,0.23295918,0.18495725,0.118421614,0.24545571,0.43341047,0.491798,0.23739207,0.1651992,0.2047153,0.13294463,0.38059568,0.33677334,0.0,A
0.0,0.0,0.08469832,0.22597477,0.18746786,0.114591844,0.24890159,0.42982495,0.49548092,0.23471484,0.16639884,0.20676354,0.13034083,0.3328821,0.3846469,0.0,A
0.0,0.0,0.0823982,0.22799502,0.18614331,0.1153659,0.24723671,0.42723277,0.49459973,0.23346859,0.16450167,0.20694286,0.1317866,0.41687512,0.29906717,0.0,A
