f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,label
0.30886385,0.31202367,0.3012987,0.3590199,0.3553292,0.25468785,0.22414947,0.3311762,0.46744,0.53199685,0.5488529,0.9059181,0.75648427,0.9665888,0.45993307,0.7781486,0.8048975,0.6659444,0.5408275,0.804899,1.3186547,1.157131,1.2575405,7.00553,22.1071,10.091661,4.058554,1.267548,2.0837615,0.94208586,1.2502143,1.9557452,0.8141363,1.0907035,1.6360934,1.1481647,1.1203439,0.8982073,0.46856266,0.93771654,0.48796505,0.4896592,1.1749419,0.846605,0.6482878,1.2195733,1.8285445,3.2919707,9.020563,7.1659303,3.6667943,1.4445984,1.008296,0.9473654,0.93069136,0.57197845,0.745284,0.4195058,0.2202244,0.29400986,0.46242365,0.29598185,0.39873484,0.26946172,0.3588864,0.18611449,0.52460355,0.41567174,0.39237475,0.50305015,0.48800766,0.587453,1.9803616,2.4192917,1.3880886,1.344106,1.0311651,0.6925744,0.2726393,0.47278494,0.6040354,0.4087913,0.48101828,0.430516,0.49160385,0.6278822,0.5760815,0.73003036,0.794655,0.7120457,0.8378168,0.85570604,1.1622937,1.4745675,1.8161334,3.051727,5.8760633,10.371873,5.8277535,4.0328,4.7837377,4.9164457,5.3753543,3.3139381,2.079797,1.3314855,0.9527765,0.86630094,1.0056301,0.765125,0.6110888,0.57825905,0.26937807,0.6292502,0.6459128,0.36772498,0.47625947,0.3875939,0.38121837,0.56091857,1.1652657,4.0632424,4.5879855,1.6121321,1.8052429,2.2254882,2.7389824,2.4657588,1.4329215,0.8850296,0.90040475,0.69494134,0.4432067,0.5182228,0.49849644,0.4181895,0.38601276,0.47918332,0.38136113,0.29511315,0.53542066,0.40712717,0.69437927,0.5896019,0.45864934,1.009375,1.0613054,2.2086828,4.394943,1.7932924,1.6390555,3.7410107,4.4283204,5.641579,3.6217034,3.6465075,1.5538068,0.9839576,0.81847125,0.8604857,0.9803716,0.8444229,0.5533938,1.3445365,0.41453263,1.5191891,1.8134961,1.9378191,3.9793005,6.1392717,13.7852125,18.47088,13.771374,11.503332,7.4594684,6.859489,5.656502,5.386432,4.3233852,2.1315362,1.7354594,2.0403278,1.1563975,1.938206,1.6855614,1.8552012,1.9275615,2.7269974,0.6973431,3.0026295,3.4784853,3.2519,7.349115,13.709929,22.92644,35.64751,19.712313,15.444246,7.678998,0.0,A
0.30343384,0.3058896,0.2992738,0.30486563,0.33560735,0.35791823,0.40711883,0.28466496,0.40194497,0.34014705,0.3745858,0.46098366,0.4883173,0.15960404,0.53832966,0.79185665,0.55363375,0.6949682,0.67859364,1.0348405,1.0136387,1.9483374,1.6796396,13.363714,6.465532,5.3967967,2.2780995,1.3264128,0.7745831,0.8642851,0.6277324,0.72628474,0.41371915,0.2681858,0.32491434,0.5685017,0.68575567,0.49680078,0.07999349,0.24887852,0.15721676,0.43313524,0.28472018,0.5418789,0.09666155,0.7634351,2.2295141,9.378322,9.535686,4.6195254,1.1872019,0.7792218,1.1310495,1.0303655,0.53892094,0.6270401,0.61302453,0.6767562,0.44203016,0.4631145,0.43498796,0.49206758,0.34099063,0.49873298,0.4821293,0.4665995,0.3919975,0.3933686,0.43643066,0.5341254,0.5088094,0.9788011,2.439169,0.7531762,0.17506218,0.22393617,0.19920744,0.18729395,0.31222636,0.2653209,0.36058545,0.110297,0.3574525,0.4754475,0.27191982,0.36995837,0.36453986,0.40723142,0.65240824,0.5575312,0.39964435,0.7283923,1.1922108,0.5732546,2.7124808,3.0944016,11.595364,8.324001,6.041377,2.8977857,1.8295839,0.76242965,0.5313301,0.19672623,0.6232922,0.51355356,0.8027087,0.41573092,0.158331,0.32888284,0.43516248,0.2180466,0.2371845,0.022486022,0.25732565,0.31691018,0.466067,0.12980258,0.7830273,1.1700834,2.822608,2.5489461,3.2499728,1.0464513,0.95667,0.7709881,0.7926678,0.6612579,0.47249782,0.6042106,0.57370853,0.2626047,0.4185634,0.49593848,0.5348638,0.40061346,0.42133492,0.36932266,0.6575435,0.43434826,0.39315802,0.28509283,1.2424626,3.834582,4.0550876,1.3447349,1.7484722,2.0991085,1.1869247,1.2893629,0.6982672,0.5326762,1.0495443,1.1678578,0.35951078,0.80172205,1.1431367,0.9877043,0.6416235,0.2573924,0.7769071,1.5699916,0.9925984,0.752089,0.35052288,2.8702083,0.7587584,4.744633,4.608811,7.8859596,12.352925,10.0125,10.361453,4.3967304,1.3699977,2.0203953,1.3226436,0.66476536,0.39220503,0.50039,0.3593885,1.004444,0.6758957,1.1057042,0.5117466,0.9393163,2.2267833,1.2586613,3.407554,3.27494,5.504627,9.472807,24.030373,19.64023,13.267115,32.694195,10.231704,8.820311,8.301579,0.0,A
0.51520914,0.52585685,0.5270339,0.5054076,0.56302893,0.5834268,0.4887149,0.58671755,0.7765856,1.1737667,1.1647431,2.627391,0.7676045,0.99277395,0.43040043,0.8529164,0.9139253,0.88409156,0.65157044,1.0111994,1.2996877,0.83257747,1.9082273,5.4830427,22.13472,13.821516,4.8469367,3.0849516,1.0473185,0.65118957,0.90884763,0.8395507,0.545852,0.9071664,0.8861262,0.63623,0.5428503,0.68800384,0.6198787,0.52186525,0.45970228,0.69700986,1.0326245,1.0960903,1.592144,0.9665867,1.7718537,5.4641743,8.9613905,5.752743,3.971935,1.7368639,1.4947791,1.5958859,1.500629,1.1872216,0.7143595,0.4132337,0.4228269,0.16145176,0.28726524,0.40139917,0.35751778,0.31781197,0.22433232,0.2056574,0.26731646,0.22478499,0.20961829,0.24311605,0.27868626,0.755603,2.4281216,2.4712772,0.28456697,1.8610766,0.8711237,0.76265013,0.6243582,0.8971697,0.60737354,0.592204,0.55792004,0.40511322,0.44734928,0.6361813,0.6777004,0.74193466,0.8945039,0.8899729,0.83486223,1.1003435,1.4060004,1.5128766,1.3525342,2.8586655,7.2208605,7.6444855,3.5824769,3.8438137,6.246277,5.34169,4.161943,3.247898,2.990057,2.1341143,1.0550275,1.3418306,0.93514097,0.73794734,0.6101836,0.6286465,0.6826903,0.6371903,0.5107735,0.7562178,0.39137846,1.2105151,1.6152107,0.91717494,3.647192,6.618539,4.104189,0.7626115,2.1104388,3.5451427,2.597676,1.6471621,2.140425,2.27647,2.0656583,1.5304533,0.87283725,0.51075685,0.5215142,0.40201873,0.28977627,0.22287357,0.231879,0.31144407,0.39100423,0.318656,1.07021,0.8731555,0.9108501,0.65667766,1.1769056,0.75581944,2.3975096,2.6228662,3.0060127,4.967892,3.2751904,2.5353868,3.8956933,4.8316875,4.667913,3.22241,1.4022777,1.488655,0.821044,0.61775017,0.9149573,1.4082189,1.3200914,2.3676765,5.051326,4.3684163,5.7260966,20.095156,29.07989,18.952785,7.8298235,12.714098,13.558151,8.628787,10.758084,4.6072855,1.4627767,2.438475,3.2546823,4.2489986,4.425208,3.5936968,2.0943413,0.8080331,2.2254782,4.3812857,1.6050249,7.848576,15.429494,13.68052,7.4854817,33.615,56.68495,48.32394,4.8951426,20.326248,9.391308,0.0,A
0.06463779,0.06359168,0.064116925,0.048036035,0.059814617,0.10167139,0.17231022,0.08295079,0.091899194,0.19384535,0.19036439,0.3448003,0.885232,0.45523915,0.13101839,0.27055994,0.5049343,0.078038715,0.25844166,0.37571618,0.9560661,1.3285037,2.288725,7.5928497,9.2280855,2.6705923,1.8259354,1.4217358,1.0040108,0.7983181,1.0163928,0.37121823,0.89628756,0.7437275,0.58063316,0.63588893,0.7907871,0.6701766,0.63323057,0.49709818,0.6568612,0.64950293,0.6289547,0.47878,1.184969,1.309974,1.4797878,3.2541642,9.326903,3.2034853,1.4368752,1.0074773,0.7174632,0.247411,0.44496533,0.33035108,0.18447156,0.23915347,0.3510338,0.30897224,0.23643985,0.2907159,0.18923637,0.45248637,0.32819185,0.1256413,0.3222251,0.34379414,0.42604697,0.43495664,0.3800433,0.5448365,1.8405254,2.4994648,0.44869947,0.596669,0.5405065,0.3327779,0.5430471,0.6311525,0.41417238,0.50507426,0.55532426,0.3647979,0.367351,0.6076722,0.5339548,0.7146501,0.5870679,0.6659411,0.676623,1.1137626,0.9491091,1.052882,1.5208362,2.2226424,5.1796355,15.023901,4.8158846,2.4184124,0.55460954,1.3238575,1.0494512,0.25223464,0.2865995,0.45417228,0.4216497,0.42368823,0.23783964,0.12640351,0.38947588,0.39214984,0.20538868,0.3985338,0.47853518,0.54440475,0.40797508,0.5241289,0.6604051,0.7348921,1.7354506,5.294639,7.6669054,0.9533361,1.1966734,0.8610813,0.57861215,0.6534929,0.4352178,0.4482947,0.58687854,0.6749434,0.31123918,0.36385578,0.37233093,0.39675447,0.49221864,0.5073794,0.56681293,0.64837015,0.37882388,0.1359836,0.27874702,0.519809,0.86136895,1.505277,0.31741893,2.766983,1.9542106,0.83023745,1.056318,1.2088097,0.3973255,0.49524733,0.8113722,1.1772616,0.1896197,0.61240965,1.0961764,1.323872,0.7946898,0.19844311,1.957625,2.2716196,1.4269642,1.1625274,1.9337182,3.2747295,5.807713,7.4247603,21.710136,41.246925,9.7638035,5.9100094,3.0244246,1.9546913,3.3754363,1.7552794,2.0013132,2.3001573,2.998937,0.97136337,1.3083084,2.065509,2.3605413,1.7673174,0.7857027,2.519656,4.9978156,4.0954537,3.8395717,4.086843,7.2317433,9.740168,30.367638,54.315773,18.961336,11.917364,4.2356634,0.0,A
0.59520215,0.5810261,0.5982976,0.61326957,0.6387087,0.585524,0.45317468,0.68677455,0.5936968,0.95117164,1.7761751,0.66704136,1.181842,1.0007683,0.68737495,1.1996627,0.9047173,1.0868787,1.2731693,1.173996,1.7410827,2.3167813,2.9987097,9.261758,25.138193,8.100005,4.550778,1.7599645,1.2693177,0.59047693,0.4805183,0.49663004,0.482886,0.46621424,0.5462339,0.34876493,0.60406995,0.3589533,0.49690422,0.3652755,0.70947164,0.45703217,0.43594712,0.3748995,1.1297064,0.94679844,1.8724498,1.8191975,11.126388,9.037736,1.5733563,0.89008546,0.85595983,0.83672935,0.7812578,0.4615238,0.50855666,0.30437413,0.35677138,0.2557031,0.41834027,0.27258256,0.12409722,0.24708535,0.18069325,0.16679673,0.18743803,0.29651558,0.21988499,0.361269,0.52373123,0.48608473,1.2818233,2.4768376,1.8384271,0.9237042,0.354862,0.23214675,0.20050418,0.6348875,0.47841364,0.2879848,0.40213603,0.41182756,0.41255227,0.2861357,0.2603421,0.23319367,0.32850134,0.40785798,0.4422613,0.46310577,0.52607465,0.48674047,1.282688,1.9641478,3.1506922,11.667042,8.439414,6.687943,3.7179058,4.0956507,3.7145755,2.212201,1.3875614,1.261197,1.0121545,0.51800185,0.6008193,0.53217745,0.39907092,0.45701513,0.48093858,0.50858366,0.4815271,0.5349578,0.55967695,0.42346072,0.66628027,0.8631693,1.2545894,1.699691,5.461672,3.172895,2.961438,1.3992517,1.7197877,1.695988,1.621595,1.4662834,0.7142384,0.63491935,0.5676556,0.50379455,0.5048622,0.7426288,0.6418264,0.5783445,0.6699323,0.61863655,0.61822796,0.4670249,0.67017734,1.2115467,1.143964,1.0834994,2.5683024,2.6541035,5.7189403,7.0874763,2.3221607,3.7138412,4.363267,4.8001328,2.6389167,1.8046451,1.913856,0.7088168,0.8274967,0.8967097,0.6039692,1.227475,0.91018695,1.2027589,1.7202904,1.9681382,1.7860502,2.498175,2.317642,6.0384083,4.5919447,19.714527,13.290637,16.703922,13.233753,4.779828,3.717071,3.0330288,2.9381845,0.9803255,1.2679851,0.84571487,0.4343473,0.61792797,0.18438311,0.32172585,0.6932343,0.79555035,0.75873786,1.2917866,2.5283642,2.4442072,5.5074277,3.4587398,9.724637,13.163505,15.340881,11.086583,17.32843,0.0,A
0.33329174,0.33706746,0.33667073,0.32285815,0.30139256,0.33208835,0.4629858,0.5333191,0.4362851,1.1114755,0.49241525,0.9756626,0.4756901,0.7563712,0.7126833,0.7621378,0.9237348,0.7266412,1.1407572,1.2135884,1.4348638,2.1913157,2.9399347,11.273804,13.981864,9.7406845,3.535386,1.5595859,1.0787213,1.3499829,0.7525883,0.9217441,0.72112405,0.47041348,0.24457493,0.49645406,0.37113875,0.4108643,0.47783756,0.5950267,0.5721807,0.3349019,0.61847657,0.63489676,0.7152692,0.94361144,1.5524404,4.9140596,13.007567,1.7824788,4.2477994,1.464081,1.6153054,1.086916,0.9102152,0.32950234,0.2888732,0.31959972,0.20803382,0.19852641,0.26630616,0.4295752,0.21182048,0.25999546,0.20331952,0.2586,0.33592892,0.23248143,0.080577,0.23537558,0.19325489,0.4607329,2.0883505,2.4506185,1.4074708,0.54294235,0.4788222,0.38684708,0.3495024,0.17575796,0.44347972,0.39664516,0.43682992,0.4080703,0.43730652,0.39009586,0.5003492,0.6405831,0.39233524,0.60338134,0.72156423,0.66678464,0.7391603,0.7199926,0.97072756,1.295029,5.3484335,10.730247,1.5939627,4.5872755,3.4576252,2.5134587,2.4050171,1.7744788,0.7000753,0.648376,1.0794486,0.54844695,0.47242677,0.26748815,0.6768552,0.34908733,0.20317702,0.18650354,0.24789391,0.265934,0.32623085,0.2671139,0.35148442,0.8435148,1.5161579,4.8988233,5.2517886,3.494691,0.68931395,0.769213,0.79541624,0.68572587,0.57949597,0.6262272,0.6062159,0.5225192,0.82062817,0.32105872,0.65318704,0.7716802,0.6629672,0.6024231,0.52536595,0.68049127,0.33619648,0.63821894,1.0873243,1.5089748,0.7391491,1.9666682,1.2708338,1.005656,5.3094006,2.9874165,1.7203509,1.4891192,0.7733037,1.8263992,0.74981856,1.3404374,0.9617911,0.46252155,0.66494125,0.8370066,0.72934717,0.4010546,0.8490212,0.93545246,1.0111158,0.8519669,1.2675866,2.1450093,4.4447136,6.299529,14.363777,14.133947,13.403177,7.8377876,8.51047,7.232031,4.054335,2.4217148,2.4045117,1.4881908,0.77309465,0.74925387,0.8854537,0.30978224,0.78316665,0.6146445,0.3659707,0.42386967,0.84513247,0.48583066,0.6491267,2.2581952,3.6741507,6.6087356,13.093367,13.844278,5.9331026,11.271986,3.3939612,0.0,A
0.46394598,0.42211577,0.45320427,0.47761804,0.51861966,0.399113,0.45168677,0.4268502,0.59836847,1.1135625,1.2480825,0.74576676,1.0182128,1.6183176,0.8451689,1.0022613,1.0041455,0.78332675,1.3542885,1.1153566,1.1947848,0.6784851,3.8490236,4.4618254,18.022734,6.53904,2.5940244,1.3077121,0.69241,0.53104717,1.134793,1.0326283,0.60006064,0.6950219,1.4783233,1.2239965,0.65188456,0.8690296,0.45764756,0.31794542,0.20229122,0.62439626,0.5597669,0.93648136,0.6234891,0.4333559,0.9084601,2.1322026,3.1441238,8.962643,2.5983229,1.1689312,1.0334696,0.7193172,0.71395594,0.59352213,0.5841079,0.3251568,0.29935855,0.31388792,0.37935117,0.27757078,0.29022843,0.25758728,0.2411967,0.28375998,0.23688106,0.17967564,0.20798178,0.12017619,0.2723695,0.15953547,0.38693538,1.1715854,1.5248389,0.5832982,0.58746195,0.21623093,0.1643244,0.21557045,0.47535732,0.37675333,0.37180042,0.27731365,0.3501161,0.3833738,0.37322864,0.2956912,0.18733224,0.21115068,0.29276112,0.3080738,0.3836646,0.41744965,0.49431792,0.44230643,1.4567194,2.2147818,4.9322505,5.7233386,2.210139,3.5542872,2.035267,0.85144746,0.9104664,0.51333904,0.49979383,0.49563834,0.4693219,0.5045914,0.37552154,0.31523573,0.2996705,0.5074105,0.34166464,0.29601735,0.41472915,0.46507028,0.332332,0.2673474,0.22345226,0.9299527,0.8746328,2.991568,2.6085021,1.07202,2.0135913,1.7223846,0.7719189,0.95205617,0.70981914,0.54063237,0.37706837,0.47406605,0.8424785,0.39080065,0.39315563,0.45565248,0.50966465,0.65678054,0.50513005,0.5356437,0.50184804,1.0418712,1.2180246,0.75993705,1.4494317,2.1843896,10.265502,4.0700026,1.0486273,2.7311168,2.057294,2.3428764,1.4919773,1.2138338,0.9847345,0.5392775,0.4496501,0.55713475,1.0031416,1.5778366,0.48083994,0.64443904,1.1238831,0.5956505,0.4663359,0.64612955,1.5414498,1.7610795,1.2872998,2.3519955,7.1877623,15.612895,7.7764063,4.144759,5.7362685,2.244706,1.7143489,1.1499647,1.4991577,0.51090294,0.8177816,0.41678026,0.44950098,0.93467486,0.264899,0.3222296,0.7476596,0.81304026,0.64034486,0.56548977,1.1395602,2.157723,1.2839072,2.9048834,2.0935872,6.233323,10.3905325,0.0,A
0.18459055,0.16616751,0.14295688,0.20444685,0.19046092,0.19792438,0.28720322,0.19731967,0.2428406,0.35843703,1.0598942,1.421184,0.47696984,0.74107885,0.85355127,0.46463445,0.61323875,1.1750417,0.99239516,0.6076085,0.90246993,1.0873364,2.166796,14.610018,8.501372,6.692489,2.385951,0.93316066,0.7087287,1.0171665,0.33707052,0.7031343,0.43313012,0.5526117,0.39900142,0.57624984,0.61813545,0.91450655,0.88388926,0.50341636,0.7642521,0.65981346,1.3295342,0.83070636,1.0670342,1.7311774,3.228798,14.366947,4.515754,3.951856,1.9964689,0.953359,0.65759593,0.4944333,0.42757526,0.6691193,0.3702984,0.2837646,0.39110062,0.22469223,0.21678658,0.3791995,0.22771671,0.20631905,0.35804832,0.24809082,0.2240748,0.13717858,0.13619663,0.13395768,0.2974352,1.7900729,1.7152017,0.85996705,1.1012352,0.7527346,0.38332757,0.51345956,0.20998007,0.49054116,0.29985967,0.13152327,0.24766608,0.3423978,0.3596505,0.411684,0.31971264,0.47974086,0.62774444,0.4896424,0.4285111,0.38541827,0.6708397,1.918598,2.215111,4.6640596,9.145182,2.9804835,2.7709377,3.4361758,2.6130195,1.4578493,1.0069797,0.7822868,0.46197712,0.26363632,0.17298913,0.61820036,0.37175193,0.33390224,0.44287688,0.23894177,0.67741716,0.29776296,0.37033528,0.5345251,0.390182,1.4753256,1.749667,2.8727624,3.9059467,1.6278603,1.1963865,1.5955633,1.7669256,1.2986693,0.80180806,0.56079954,0.460666,0.5368149,0.43636358,0.3002805,0.20602185,0.13819847,0.13849166,0.17048177,0.07359241,0.40310574,0.24970025,0.46710524,0.32935157,0.935385,1.5201759,2.8237863,7.4256716,2.7600393,1.3078134,1.5796763,3.2014825,3.6878042,2.7817512,1.8242651,1.8912357,1.7209793,0.92698294,1.0256702,1.6587104,1.2734987,0.16188486,1.085358,1.0487266,0.79294467,0.9649586,0.75658184,1.553432,3.7574208,2.9940474,4.192056,8.167514,7.9318843,3.1048894,2.5105033,1.5426828,3.411311,3.9687202,2.897519,1.5174122,1.0385712,0.677714,0.49139544,0.35153183,0.5047619,0.575943,0.29100034,0.6613772,0.6363755,0.6063345,0.8235974,0.7369729,2.0729663,2.1189501,4.447557,11.794148,10.209938,2.6608925,2.7313988,2.2903614,1.6540253,2.8637981,0.0,A
0.29144958,0.27445334,0.30791926,0.28047103,0.2968594,0.29151765,0.37170494,0.39388672,0.41004163,1.1219833,2.3363514,1.7979249,1.3579426,1.4372786,0.6944452,1.0033565,1.2881063,0.95870936,1.0454956,1.9254702,1.5278826,2.870132,5.7288904,19.327013,10.168692,5.114094,2.9721894,1.5818728,1.204828,1.1794275,1.2205565,0.8051413,1.3421774,0.8239312,0.9169391,1.4250991,0.8412893,0.78086895,0.36336705,0.48140106,1.0075142,0.99461704,1.1772869,0.8601313,1.782973,2.4125698,5.002472,10.286867,14.972683,5.111819,2.8751066,1.9020083,1.5713581,1.5297482,1.3023494,0.8954798,0.8671304,0.9893781,0.8750391,0.8839786,0.6290969,0.76974,0.9476521,0.7712437,0.72676814,0.88038695,0.7790305,0.47473732,0.9356216,0.91629,0.90839505,1.7587227,4.75291,1.6768012,0.889023,0.34829897,0.7093367,0.86363345,0.604232,0.6163714,0.99085987,0.896364,1.1557022,1.166098,1.1226362,0.99319535,1.5201787,1.2400922,1.5707308,1.6058198,1.6754578,1.9288299,2.9586344,3.398442,4.8292446,11.385183,32.694244,29.393845,15.761229,11.724399,4.994302,6.173531,5.475483,3.4481606,1.9187009,1.580664,1.4063948,2.2342954,0.4689815,0.52603495,1.1008143,0.7131182,0.45793614,0.7365588,0.699444,0.6689215,0.8835765,1.1021291,3.304817,4.2121243,4.864896,7.835421,3.7246163,1.718891,1.1318686,0.53566617,0.7850548,0.5037828,0.31994838,0.30263522,0.3684635,0.36672205,0.63994837,0.3545318,0.2631718,0.39379963,0.24556664,0.54490656,0.35357818,0.44438502,0.3590078,0.48172125,0.7506502,0.9278216,1.4474936,0.64462173,1.046611,1.2328535,0.814481,0.5280928,0.46163997,0.52623916,0.47197857,0.077622,0.22601475,0.16082624,0.3259262,0.12603259,0.080686286,0.12520605,0.21671616,0.22713381,0.30264428,0.17074974,0.18443811,0.4299113,0.721017,0.72454214,0.84070307,1.964593,0.48692054,0.6146803,0.5578517,0.35972548,0.34912258,0.16079243,0.18903854,0.17972109,0.06366006,0.028794404,0.097810365,0.15115789,0.25613692,0.41938338,0.21185309,0.29143873,0.36412907,0.22571059,0.3663592,0.33465084,0.14200826,0.4258038,0.55816066,1.079133,1.1200956,1.4775443,0.7561288,0.5546463,0.29265955,0.0,B
0.1813641,0.1694578,0.18432027,0.16178964,0.15042357,0.26323265,0.24515076,0.4149882,0.27840373,0.53267163,2.1877646,0.9327945,0.47242475,1.1429334,0.6264541,0.41139546,1.2020736,1.2558484,0.87844265,0.926845,0.8365741,2.5272918,5.0767226,13.94189,15.020853,5.720421,2.6831677,1.8771179,1.6720535,1.3655266,0.95415926,1.0539197,0.6620562,0.70330346,0.8225509,1.1891676,0.45365462,0.6468262,0.29442087,0.31386223,0.38126853,0.79137164,0.3183169,0.6792018,0.6543182,0.8590282,0.69960666,2.674502,14.783532,2.1052253,1.4731135,0.5148397,0.5933759,0.761169,0.8475319,0.6316581,0.5937974,0.5579182,0.4635886,0.32347888,0.59133,0.7654718,0.576488,0.6704659,0.7143162,0.58109087,0.7736646,1.0210142,0.72790474,0.79574627,1.0643449,2.5303347,5.6081634,0.8637154,1.4220829,1.0863544,0.64784855,0.5190822,0.39318517,0.34484687,0.35656965,0.35676572,0.34976622,0.42866746,0.49217322,0.542995,0.48754352,0.5651178,0.57287276,1.0047096,0.6444867,1.3528355,2.200842,1.3071312,3.519317,15.2518015,26.535366,49.691326,15.307679,8.33658,2.559679,0.8372916,2.007493,1.2872009,0.9891307,0.7695683,0.51626027,0.7915709,0.901951,0.8037158,1.0412619,0.59111387,0.41543517,0.43971166,0.5514349,0.66004306,0.3338212,0.6811808,0.63151485,1.6478376,1.1871417,3.6617851,4.8133864,1.67783,0.7004043,0.37876248,0.32975814,0.60024375,0.11594616,0.4036665,0.3744219,0.37046105,0.3298778,0.26829615,0.26735574,0.21441483,0.23040299,0.32741213,0.38959047,0.18899825,0.40692273,0.20748222,0.5137463,0.41187802,0.54997784,0.5920932,1.4668067,1.5213206,1.325137,0.32291043,0.2428926,0.25105986,0.2003677,0.12900212,0.09314076,0.109633565,0.14847645,0.09899534,0.031771664,0.052383415,0.11245903,0.114575155,0.12395795,0.12309612,0.07878428,0.054239538,0.14511581,0.028729618,0.30383945,0.13773571,0.43941182,0.06016722,0.6597013,0.3145716,0.1381459,0.15713309,0.08858566,0.06306667,0.106821045,0.13527699,0.15262783,0.089402266,0.03135609,0.06397228,0.17818448,0.039123032,0.12223025,0.1205491,0.23847717,0.30544314,0.38564244,0.24603653,0.050904974,0.18659578,0.6836542,1.2557737,0.4817223,0.41311204,0.48304313,0.0,B
