@relation mouseTrainNum
@attribute x numeric
@attribute y numeric
@attribute label numeric
@data
111.0,60.0,0.0
159.0,33.0,0.0
87.0,127.0,0.0
63.0,180.0,0.0
82.0,230.0,0.0
208.0,74.0,0.0
228.0,134.0,0.0
203.0,176.0,0.0
160.0,239.0,0.0
176.0,138.0,0.0
84.0,224.0,0.0
130.0,113.0,0.0
134.0,105.0,0.0
146.0,83.0,0.0
63.0,326.0,0.0
88.0,318.0,0.0
163.0,269.0,0.0
203.0,262.0,0.0
295.0,145.0,0.0
196.0,262.0,0.0
190.0,269.0,0.0
116.0,371.0,0.0
88.0,399.0,0.0
166.0,326.0,0.0
189.0,361.0,0.0
155.0,440.0,0.0
153.0,448.0,0.0
182.0,425.0,0.0
183.0,424.0,0.0
188.0,422.0,0.0
268.0,84.0,0.0
269.0,75.0,0.0
294.0,54.0,0.0
269.0,280.0,1.0
390.0,189.0,1.0
382.0,195.0,1.0
364.0,139.0,1.0
329.0,230.0,1.0
323.0,263.0,1.0
316.0,339.0,1.0
312.0,353.0,1.0
265.0,384.0,1.0
240.0,393.0,1.0
221.0,440.0,1.0
233.0,453.0,1.0
263.0,350.0,1.0
272.0,459.0,1.0
307.0,432.0,1.0
375.0,285.0,1.0
413.0,222.0,1.0
370.0,318.0,1.0
337.0,454.0,1.0
450.0,294.0,1.0
453.0,289.0,1.0
422.0,419.0,1.0
419.0,436.0,1.0
413.0,472.0,1.0
410.0,412.0,1.0
409.0,378.0,1.0
376.0,406.0,1.0
399.0,391.0,1.0
438.0,217.0,1.0
420.0,130.0,1.0
415.0,117.0,1.0
