@relation FusionTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute s numeric
@attribute l numeric
@attribute label {A,B,C,D}
@data
87.0,76.0,62.0,94.0,91.0,93.0,69.0,54.0,106.0,137.0,45.0,86.0,74.0,38.0,53.0,53.0,34.0,35.0,29.0,50.0,40.0,32.0,36.0,25.0,57.0,56.0,11.0,42.0,61.0,45.0,42.0,153.0,149.0,A
619.0,301.0,177.0,243.0,170.0,74.0,78.0,47.0,89.0,80.0,77.0,65.0,62.0,66.0,17.0,49.0,44.0,26.0,36.0,44.0,29.0,19.0,27.0,14.0,38.0,62.0,46.0,38.0,53.0,58.0,14.0,178.66667,126.0,A
1467.0,570.0,451.0,481.0,327.0,154.0,88.0,82.0,57.0,80.0,87.0,48.0,33.0,48.0,28.0,47.0,50.0,33.0,53.0,33.0,31.0,25.0,25.0,29.0,33.0,57.0,42.0,26.0,25.0,54.0,50.0,153.0,146.5,A
1405.0,382.0,506.0,392.0,335.0,153.0,50.0,71.0,86.0,86.0,71.0,44.0,40.0,63.0,36.0,51.0,57.0,36.0,45.0,31.0,23.0,29.0,26.0,24.0,32.0,50.0,45.0,37.0,27.0,45.0,58.0,153.0,125.5,A
1527.0,288.0,84.0,110.0,127.0,213.0,89.0,45.0,50.0,77.0,51.0,25.0,29.0,51.0,71.0,69.0,43.0,26.0,33.0,25.0,38.0,37.0,30.0,29.0,18.0,37.0,43.0,47.0,25.0,38.0,23.0,230.0,110.5,A
1088.0,339.0,88.0,134.0,189.0,153.0,100.0,81.0,82.0,70.0,50.0,38.0,43.0,38.0,72.0,75.0,56.0,33.0,45.0,49.0,46.0,41.0,41.0,36.0,43.0,51.0,47.0,52.0,45.0,44.0,46.0,230.0,102.5,A
432.0,266.0,94.0,214.0,222.0,80.0,117.0,92.0,104.0,94.0,65.0,45.0,69.0,55.0,56.0,64.0,53.0,59.0,82.0,80.0,44.0,50.0,65.0,61.0,57.0,67.0,55.0,44.0,45.0,21.0,32.0,153.0,142.66667,A
744.0,136.0,83.0,207.0,241.0,157.0,101.0,58.0,85.0,110.0,57.0,53.0,69.0,61.0,71.0,59.0,36.0,47.0,77.0,56.0,32.0,45.0,56.0,48.0,44.0,44.0,31.0,44.0,31.0,31.0,30.0,178.66667,138.66667,A
600.0,162.0,113.0,181.0,149.0,87.0,68.0,113.0,139.0,105.0,87.0,45.0,51.0,48.0,47.0,41.0,30.0,54.0,40.0,50.0,54.0,49.0,31.0,30.0,24.0,44.0,40.0,41.0,39.0,42.0,18.0,191.5,119.5,A
283.0,87.0,85.0,160.0,108.0,58.0,23.0,106.0,118.0,88.0,89.0,76.0,24.0,31.0,32.0,49.0,48.0,58.0,46.0,51.0,71.0,40.0,31.0,38.0,45.0,50.0,20.0,27.0,48.0,36.0,21.0,153.0,107.0,A
314.0,69.0,82.0,181.0,182.0,105.0,32.0,102.0,26.0,78.0,43.0,50.0,41.0,26.0,31.0,51.0,46.0,45.0,35.0,54.0,74.0,31.0,29.0,34.0,35.0,44.0,21.0,25.0,47.0,50.0,20.0,153.0,120.0,A
292.0,325.0,187.0,306.0,345.0,105.0,74.0,87.0,98.0,96.0,43.0,39.0,51.0,41.0,35.0,56.0,38.0,46.0,54.0,39.0,68.0,49.0,49.0,38.0,30.0,22.0,29.0,21.0,35.0,42.0,54.0,191.5,128.0,A
1006.0,625.0,484.0,467.0,387.0,177.0,106.0,151.0,123.0,111.0,31.0,45.0,47.0,47.0,52.0,65.0,74.0,37.0,57.0,47.0,38.0,46.0,58.0,51.0,29.0,15.0,33.0,42.0,27.0,25.0,39.0,178.66667,110.5,A
915.0,652.0,490.0,290.0,336.0,122.0,129.0,162.0,119.0,84.0,39.0,29.0,53.0,42.0,59.0,52.0,79.0,59.0,48.0,52.0,27.0,36.0,31.0,39.0,31.0,20.0,33.0,37.0,55.0,53.0,15.0,191.5,112.5,A
569.0,488.0,441.0,346.0,202.0,121.0,105.0,101.0,98.0,31.0,58.0,47.0,69.0,57.0,62.0,67.0,54.0,37.0,37.0,56.0,47.0,29.0,38.0,38.0,40.0,31.0,35.0,36.0,61.0,78.0,66.0,153.0,111.5,A
493.0,434.0,461.0,355.0,316.0,125.0,114.0,56.0,53.0,67.0,81.0,80.0,56.0,80.0,48.0,55.0,41.0,26.0,28.0,48.0,57.0,33.0,43.0,25.0,35.0,46.0,21.0,32.0,51.0,60.0,75.0,153.0,129.0,A
363.0,355.0,379.0,282.0,330.0,184.0,115.0,63.0,71.0,86.0,112.0,66.0,40.0,59.0,49.0,59.0,48.0,43.0,35.0,35.0,64.0,55.0,45.0,56.0,81.0,72.0,24.0,30.0,45.0,26.0,59.0,153.0,144.0,A
224.0,219.0,201.0,201.0,218.0,186.0,73.0,101.0,84.0,67.0,94.0,60.0,48.0,30.0,64.0,59.0,50.0,68.0,34.0,34.0,69.0,51.0,31.0,58.0,81.0,75.0,39.0,39.0,45.0,51.0,59.0,153.0,131.0,A
376.0,254.0,174.0,140.0,159.0,143.0,83.0,110.0,72.0,37.0,75.0,56.0,38.0,41.0,56.0,65.0,88.0,84.0,52.0,43.0,59.0,61.0,49.0,66.0,48.0,50.0,54.0,44.0,48.0,33.0,65.0,230.0,116.0,A
749.0,294.0,60.0,233.0,195.0,185.0,123.0,61.0,75.0,78.0,57.0,57.0,34.0,47.0,54.0,57.0,79.0,61.0,55.0,43.0,44.0,68.0,43.0,61.0,41.0,25.0,38.0,48.0,54.0,39.0,52.0,178.66667,105.0,A
626.0,425.0,365.0,327.0,201.0,133.0,103.0,70.0,109.0,71.0,88.0,83.0,46.0,46.0,44.0,30.0,58.0,48.0,26.0,27.0,45.0,51.0,25.0,50.0,63.0,38.0,40.0,47.0,62.0,48.0,72.0,191.5,102.0,A
528.0,423.0,442.0,259.0,277.0,118.0,94.0,104.0,120.0,71.0,130.0,115.0,65.0,73.0,89.0,56.0,56.0,49.0,34.0,34.0,43.0,35.0,17.0,43.0,64.0,44.0,36.0,29.0,67.0,56.0,83.0,191.5,107.333336,A
469.0,338.0,389.0,453.0,250.0,207.0,105.0,72.0,122.0,137.0,133.0,80.0,73.0,74.0,76.0,81.0,63.0,39.0,63.0,57.0,45.0,38.0,24.0,43.0,43.0,45.0,38.0,31.0,65.0,67.0,60.0,191.5,113.5,A
796.0,531.0,478.0,378.0,93.0,185.0,154.0,89.0,46.0,107.0,70.0,39.0,56.0,62.0,70.0,76.0,67.0,59.0,80.0,71.0,41.0,32.0,31.0,36.0,45.0,56.0,25.0,40.0,42.0,61.0,28.0,230.0,112.0,A
1989.0,1015.0,242.0,372.0,219.0,89.0,172.0,96.0,39.0,68.0,51.0,40.0,45.0,82.0,63.0,55.0,62.0,62.0,51.0,61.0,24.0,27.0,45.0,37.0,50.0,45.0,46.0,32.0,18.0,47.0,66.0,153.0,117.5,A
1832.0,1102.0,535.0,492.0,370.0,149.0,173.0,62.0,43.0,59.0,64.0,64.0,48.0,76.0,52.0,43.0,42.0,47.0,29.0,52.0,28.0,16.0,41.0,51.0,66.0,53.0,50.0,21.0,19.0,43.0,57.0,153.0,122.0,A
551.0,594.0,440.0,432.0,377.0,242.0,132.0,61.0,50.0,28.0,76.0,65.0,52.0,54.0,57.0,61.0,65.0,35.0,33.0,54.0,39.0,24.0,51.0,84.0,85.0,52.0,41.0,28.0,35.0,46.0,22.0,191.5,124.5,A
189.0,102.0,91.0,255.0,225.0,138.0,78.0,61.0,38.0,45.0,60.0,48.0,59.0,39.0,42.0,60.0,74.0,39.0,39.0,37.0,31.0,25.0,40.0,87.0,65.0,59.0,43.0,42.0,54.0,59.0,60.0,191.5,127.0,A
265.0,80.0,140.0,282.0,154.0,124.0,85.0,61.0,21.0,63.0,60.0,39.0,58.0,76.0,52.0,35.0,55.0,61.0,36.0,32.0,46.0,33.0,45.0,57.0,27.0,55.0,80.0,57.0,24.0,48.0,41.0,204.33333,105.333336,A
662.0,312.0,152.0,406.0,370.0,286.0,164.0,45.0,41.0,68.0,65.0,44.0,63.0,110.0,54.0,36.0,42.0,62.0,49.0,64.0,34.0,46.0,61.0,33.0,28.0,45.0,84.0,74.0,46.0,17.0,19.0,153.0,87.0,A
996.0,371.0,112.0,522.0,629.0,438.0,174.0,58.0,59.0,99.0,96.0,93.0,116.0,113.0,55.0,58.0,58.0,63.0,59.0,66.0,40.0,61.0,60.0,41.0,41.0,48.0,37.0,83.0,78.0,32.0,23.0,191.5,87.0,A
800.0,327.0,364.0,492.0,490.0,355.0,195.0,50.0,77.0,99.0,97.0,96.0,123.0,65.0,41.0,71.0,85.0,67.0,50.0,42.0,46.0,75.0,64.0,23.0,39.0,37.0,16.0,58.0,83.0,45.0,24.0,178.66667,101.333336,A
670.0,234.0,252.0,262.0,218.0,129.0,159.0,100.0,65.0,80.0,33.0,76.0,81.0,52.0,35.0,85.0,92.0,65.0,59.0,34.0,45.0,50.0,45.0,54.0,37.0,41.0,26.0,49.0,51.0,35.0,25.0,230.0,119.0,A
506.0,366.0,222.0,276.0,190.0,44.0,50.0,107.0,97.0,73.0,47.0,31.0,41.0,45.0,54.0,82.0,106.0,81.0,58.0,55.0,43.0,56.0,39.0,42.0,48.0,39.0,52.0,58.0,26.0,14.0,11.0,191.5,122.0,A
508.0,288.0,287.0,228.0,279.0,109.0,101.0,89.0,82.0,62.0,60.0,56.0,21.0,55.0,63.0,46.0,74.0,42.0,36.0,55.0,33.0,28.0,41.0,30.0,42.0,52.0,44.0,66.0,26.0,11.0,6.0,230.0,118.0,A
430.0,349.0,211.0,211.0,289.0,206.0,149.0,48.0,56.0,79.0,97.0,79.0,58.0,72.0,56.0,22.0,55.0,39.0,36.0,28.0,61.0,53.0,40.0,37.0,48.0,63.0,44.0,64.0,44.0,14.0,8.0,191.5,108.5,A
