x,y,label
30.0,155.0,A
30.0,156.0,A
84.0,173.0,A
92.0,170.0,A
142.0,121.0,A
141.0,121.0,A
139.0,122.0,A
108.0,130.0,A
112.0,124.0,A
116.0,116.0,A
97.0,114.0,A
105.0,107.0,A
101.0,110.0,A
79.0,118.0,A
132.0,72.0,A
132.0,74.0,A
207.0,62.0,A
227.0,55.0,A
223.0,105.0,A
199.0,133.0,A
192.0,139.0,A
168.0,162.0,A
164.0,168.0,A
128.0,208.0,A
127.0,211.0,A
137.0,209.0,A
145.0,201.0,A
151.0,232.0,A
139.0,245.0,A
103.0,312.0,A
57.0,277.0,A
62.0,271.0,A
70.0,260.0,A
69.0,302.0,A
67.0,304.0,A
125.0,280.0,A
101.0,309.0,A
201.0,165.0,A
202.0,164.0,A
226.0,167.0,A
227.0,150.0,A
231.0,142.0,A
238.0,132.0,A
248.0,121.0,A
236.0,135.0,A
156.0,175.0,A
163.0,163.0,A
218.0,140.0,A
194.0,155.0,A
189.0,149.0,A
214.0,146.0,A
175.0,260.0,A
147.0,237.0,A
143.0,244.0,A
248.0,257.0,A
259.0,252.0,A
277.0,147.0,A
279.0,142.0,A
325.0,70.0,A
325.0,69.0,A
339.0,54.0,A
341.0,52.0,A
322.0,67.0,A
309.0,74.0,A
109.0,147.0,A
107.0,150.0,A
31.0,234.0,A
31.0,235.0,A
31.0,236.0,A
20.0,265.0,A
20.0,267.0,A
251.0,338.0,B
268.0,324.0,B
388.0,235.0,B
384.0,244.0,B
206.0,457.0,B
294.0,397.0,B
279.0,407.0,B
252.0,394.0,B
274.0,385.0,B
357.0,417.0,B
352.0,424.0,B
348.0,430.0,B
401.0,438.0,B
420.0,434.0,B
484.0,385.0,B
483.0,382.0,B
461.0,306.0,B
458.0,313.0,B
389.0,397.0,B
386.0,395.0,B
379.0,391.0,B
313.0,401.0,B
321.0,394.0,B
442.0,324.0,B
437.0,332.0,B
389.0,305.0,B
395.0,288.0,B
431.0,262.0,B
432.0,259.0,B
456.0,221.0,B
454.0,238.0,B
454.0,214.0,B
455.0,210.0,B
233.0,377.0,B
435.0,223.0,B
445.0,215.0,B
458.0,203.0,B
401.0,388.0,B
391.0,407.0,B
294.0,466.0,B
292.0,466.0,B
242.0,476.0,B
241.0,476.0,B
443.0,463.0,B
444.0,463.0,B
224.0,474.0,B
211.0,472.0,B
267.0,432.0,B
290.0,429.0,B
248.0,471.0,B
411.0,383.0,B
414.0,381.0,B
427.0,352.0,B
225.0,444.0,B
391.0,342.0,B
392.0,341.0,B
371.0,334.0,B
367.0,336.0,B
406.0,283.0,B
410.0,279.0,B
