@relation mouseTrain
@attribute x numeric
@attribute y numeric
@attribute label {A,B}
@data
215.0,269.0,A
214.0,267.0,A
204.0,245.0,A
205.0,218.0,A
222.0,200.0,A
257.0,192.0,A
260.0,192.0,A
293.0,194.0,A
321.0,219.0,A
332.0,295.0,A
266.0,332.0,A
265.0,332.0,A
208.0,305.0,A
200.0,299.0,A
157.0,231.0,A
226.0,278.0,A
230.0,282.0,A
307.0,269.0,A
310.0,265.0,A
312.0,260.0,A
270.0,262.0,A
265.0,264.0,A
249.0,203.0,A
254.0,197.0,A
306.0,188.0,A
137.0,160.0,A
137.0,161.0,A
192.0,242.0,A
193.0,247.0,A
219.0,226.0,A
220.0,225.0,A
254.0,273.0,A
250.0,275.0,A
189.0,178.0,A
191.0,172.0,A
221.0,218.0,A
217.0,221.0,A
278.0,178.0,A
291.0,171.0,A
284.0,148.0,A
273.0,147.0,A
200.0,160.0,A
201.0,163.0,A
243.0,236.0,A
244.0,243.0,A
256.0,286.0,A
257.0,287.0,A
268.0,294.0,A
287.0,240.0,A
287.0,239.0,A
40.0,173.0,B
40.0,174.0,B
90.0,232.0,B
92.0,234.0,B
99.0,265.0,B
99.0,268.0,B
98.0,271.0,B
120.0,299.0,B
122.0,299.0,B
101.0,359.0,B
100.0,362.0,B
139.0,400.0,B
141.0,401.0,B
164.0,425.0,B
165.0,425.0,B
165.0,426.0,B
240.0,468.0,B
245.0,468.0,B
277.0,449.0,B
279.0,448.0,B
250.0,402.0,B
253.0,401.0,B
349.0,319.0,B
351.0,313.0,B
365.0,305.0,B
366.0,304.0,B
397.0,301.0,B
398.0,300.0,B
420.0,154.0,B
420.0,150.0,B
419.0,147.0,B
412.0,116.0,B
419.0,77.0,B
418.0,75.0,B
333.0,42.0,B
328.0,41.0,B
127.0,43.0,B
64.0,42.0,B
73.0,61.0,B
74.0,61.0,B
229.0,60.0,B
229.0,59.0,B
266.0,50.0,B
272.0,50.0,B
289.0,84.0,B
414.0,350.0,B
413.0,354.0,B
384.0,414.0,B
381.0,417.0,B
353.0,452.0,B
353.0,455.0,B
334.0,470.0,B
299.0,448.0,B
305.0,446.0,B
314.0,443.0,B
57.0,248.0,B
55.0,241.0,B
46.0,169.0,B
47.0,166.0,B
85.0,108.0,B
88.0,105.0,B
