@relation mouseTrain
@attribute x numeric
@attribute y numeric
@attribute label {A,B}
@data
74.0,45.0,A
76.0,43.0,A
131.0,28.0,A
168.0,54.0,A
169.0,57.0,A
151.0,124.0,A
147.0,127.0,A
75.0,155.0,A
62.0,96.0,A
73.0,89.0,A
122.0,90.0,A
92.0,167.0,A
31.0,255.0,A
25.0,302.0,A
26.0,303.0,A
98.0,203.0,A
148.0,130.0,A
206.0,120.0,A
207.0,121.0,A
223.0,138.0,A
223.0,142.0,A
94.0,260.0,A
88.0,264.0,A
72.0,299.0,A
71.0,300.0,A
43.0,369.0,A
41.0,398.0,A
81.0,351.0,A
107.0,249.0,A
110.0,245.0,A
159.0,176.0,A
189.0,91.0,A
231.0,43.0,A
231.0,43.0,A
278.0,9.0,A
297.0,25.0,A
265.0,79.0,A
263.0,95.0,A
116.0,460.0,A
116.0,459.0,A
158.0,360.0,A
380.0,80.0,A
363.0,96.0,A
463.0,469.0,B
359.0,465.0,B
372.0,411.0,B
411.0,383.0,B
431.0,352.0,B
448.0,305.0,B
449.0,304.0,B
470.0,321.0,B
471.0,327.0,B
425.0,435.0,B
410.0,455.0,B
378.0,438.0,B
447.0,379.0,B
438.0,342.0,B
435.0,338.0,B
421.0,279.0,B
437.0,233.0,B
450.0,204.0,B
318.0,258.0,B
309.0,330.0,B
312.0,395.0,B
278.0,448.0,B
244.0,458.0,B
341.0,360.0,B
369.0,330.0,B
370.0,330.0,B
351.0,46.0,B
289.0,171.0,B
288.0,171.0,B
61.0,466.0,B
