x,y,label
117.0,52.0,0.0
29.0,181.0,0.0
29.0,182.0,0.0
124.0,41.0,0.0
126.0,39.0,0.0
52.0,115.0,0.0
63.0,112.0,0.0
63.0,115.0,0.0
109.0,113.0,0.0
112.0,109.0,0.0
46.0,230.0,0.0
40.0,238.0,0.0
33.0,245.0,0.0
61.0,204.0,0.0
73.0,187.0,0.0
91.0,244.0,0.0
199.0,118.0,0.0
207.0,112.0,0.0
213.0,109.0,0.0
169.0,188.0,0.0
164.0,192.0,0.0
266.0,38.0,0.0
267.0,36.0,0.0
160.0,119.0,0.0
142.0,124.0,0.0
219.0,23.0,0.0
221.0,22.0,0.0
151.0,106.0,0.0
159.0,94.0,0.0
202.0,86.0,0.0
195.0,99.0,0.0
65.0,269.0,0.0
63.0,271.0,0.0
32.0,273.0,0.0
37.0,268.0,0.0
52.0,252.0,0.0
311.0,53.0,0.0
313.0,52.0,0.0
241.0,212.0,0.0
230.0,229.0,0.0
82.0,330.0,0.0
205.0,153.0,0.0
218.0,140.0,0.0
217.0,158.0,0.0
192.0,184.0,0.0
247.0,138.0,0.0
251.0,134.0,0.0
192.0,238.0,0.0
177.0,257.0,0.0
63.0,353.0,0.0
267.0,158.0,0.0
279.0,149.0,0.0
356.0,64.0,0.0
359.0,60.0,0.0
466.0,65.0,1.0
462.0,71.0,1.0
325.0,203.0,1.0
317.0,210.0,1.0
314.0,211.0,1.0
231.0,275.0,1.0
229.0,277.0,1.0
226.0,279.0,1.0
77.0,409.0,1.0
68.0,418.0,1.0
37.0,444.0,1.0
43.0,439.0,1.0
249.0,298.0,1.0
249.0,299.0,1.0
138.0,435.0,1.0
136.0,436.0,1.0
135.0,438.0,1.0
161.0,383.0,1.0
168.0,372.0,1.0
217.0,300.0,1.0
212.0,306.0,1.0
149.0,388.0,1.0
80.0,469.0,1.0
79.0,470.0,1.0
78.0,471.0,1.0
73.0,482.0,1.0
80.0,479.0,1.0
384.0,268.0,1.0
387.0,261.0,1.0
482.0,146.0,1.0
484.0,144.0,1.0
364.0,306.0,1.0
346.0,324.0,1.0
328.0,341.0,1.0
197.0,466.0,1.0
197.0,464.0,1.0
199.0,460.0,1.0
395.0,234.0,1.0
399.0,231.0,1.0
316.0,321.0,1.0
293.0,340.0,1.0
176.0,453.0,1.0
181.0,447.0,1.0
187.0,439.0,1.0
290.0,361.0,1.0
287.0,368.0,1.0
259.0,401.0,1.0
261.0,395.0,1.0
230.0,418.0,1.0
229.0,418.0,1.0
272.0,335.0,1.0
278.0,328.0,1.0
405.0,210.0,1.0
406.0,208.0,1.0
407.0,206.0,1.0
403.0,303.0,1.0
400.0,317.0,1.0
270.0,525.0,1.0
472.0,244.0,1.0
474.0,241.0,1.0
395.0,380.0,1.0
386.0,390.0,1.0
377.0,401.0,1.0
330.0,425.0,1.0
279.0,440.0,1.0
287.0,433.0,1.0
398.0,470.0,1.0
393.0,479.0,1.0
387.0,487.0,1.0
440.0,404.0,1.0
451.0,388.0,1.0
504.0,314.0,1.0
503.0,319.0,1.0
432.0,404.0,1.0
434.0,395.0,1.0
464.0,288.0,1.0
451.0,376.0,1.0
440.0,457.0,1.0
432.0,457.0,1.0
