@relation mouseTrain
@attribute x numeric
@attribute y numeric
@attribute label {A,B}
@data
151.0,75.0,A
149.0,78.0,A
90.0,65.0,A
89.0,67.0,A
88.0,70.0,A
40.0,164.0,A
40.0,166.0,A
79.0,77.0,A
84.0,68.0,A
90.0,59.0,A
89.0,61.0,A
86.0,65.0,A
92.0,140.0,A
91.0,140.0,A
134.0,77.0,A
67.0,132.0,A
64.0,134.0,A
57.0,129.0,A
55.0,91.0,A
58.0,84.0,A
127.0,31.0,A
130.0,31.0,A
168.0,73.0,A
167.0,76.0,A
137.0,133.0,A
129.0,138.0,A
125.0,139.0,A
151.0,137.0,A
159.0,134.0,A
309.0,34.0,A
315.0,86.0,A
313.0,93.0,A
96.0,232.0,A
95.0,232.0,A
103.0,218.0,A
112.0,209.0,A
115.0,206.0,A
76.0,247.0,A
60.0,264.0,A
44.0,297.0,A
49.0,296.0,A
76.0,310.0,A
102.0,306.0,A
112.0,292.0,A
215.0,119.0,A
216.0,117.0,A
303.0,129.0,A
315.0,123.0,A
438.0,11.0,A
439.0,10.0,A
23.0,367.0,A
23.0,368.0,A
23.0,369.0,A
261.0,317.0,B
267.0,313.0,B
399.0,148.0,B
401.0,146.0,B
405.0,146.0,B
402.0,151.0,B
114.0,409.0,B
107.0,411.0,B
20.0,447.0,B
19.0,451.0,B
169.0,335.0,B
183.0,327.0,B
210.0,310.0,B
356.0,224.0,B
243.0,387.0,B
238.0,395.0,B
322.0,401.0,B
333.0,395.0,B
497.0,281.0,B
497.0,280.0,B
497.0,276.0,B
399.0,180.0,B
380.0,178.0,B
272.0,253.0,B
272.0,264.0,B
362.0,363.0,B
364.0,363.0,B
423.0,425.0,B
424.0,428.0,B
441.0,478.0,B
528.0,306.0,B
527.0,302.0,B
510.0,194.0,B
394.0,314.0,B
380.0,325.0,B
242.0,413.0,B
222.0,420.0,B
215.0,423.0,B
214.0,452.0,B
227.0,448.0,B
315.0,466.0,B
310.0,468.0,B
