x,y,label
69.0,66.0,0.0
64.0,75.0,0.0
11.0,157.0,0.0
91.0,167.0,0.0
90.0,167.0,0.0
165.0,83.0,0.0
168.0,80.0,0.0
80.0,148.0,0.0
78.0,149.0,0.0
76.0,149.0,0.0
177.0,23.0,0.0
179.0,22.0,0.0
104.0,101.0,0.0
103.0,102.0,0.0
124.0,157.0,0.0
117.0,168.0,0.0
142.0,151.0,0.0
171.0,124.0,0.0
197.0,162.0,0.0
184.0,170.0,0.0
176.0,174.0,0.0
140.0,169.0,0.0
11.0,317.0,0.0
17.0,306.0,0.0
293.0,62.0,0.0
192.0,116.0,0.0
203.0,103.0,0.0
210.0,94.0,0.0
108.0,225.0,0.0
108.0,226.0,0.0
114.0,210.0,0.0
111.0,215.0,0.0
103.0,215.0,0.0
123.0,193.0,0.0
311.0,8.0,0.0
311.0,10.0,0.0
311.0,16.0,0.0
83.0,186.0,0.0
49.0,230.0,0.0
106.0,144.0,0.0
115.0,135.0,0.0
35.0,216.0,0.0
12.0,235.0,0.0
55.0,207.0,0.0
79.0,190.0,0.0
104.0,172.0,0.0
168.0,119.0,0.0
172.0,115.0,0.0
274.0,103.0,0.0
274.0,106.0,0.0
88.0,325.0,0.0
84.0,327.0,0.0
206.0,164.0,0.0
230.0,139.0,0.0
234.0,134.0,0.0
23.0,477.0,1.0
340.0,209.0,1.0
349.0,199.0,1.0
266.0,328.0,1.0
249.0,342.0,1.0
118.0,468.0,1.0
117.0,469.0,1.0
356.0,266.0,1.0
362.0,264.0,1.0
173.0,459.0,1.0
157.0,466.0,1.0
357.0,245.0,1.0
387.0,232.0,1.0
182.0,431.0,1.0
174.0,428.0,1.0
169.0,422.0,1.0
297.0,217.0,1.0
300.0,220.0,1.0
185.0,489.0,1.0
190.0,477.0,1.0
328.0,273.0,1.0
319.0,284.0,1.0
313.0,292.0,1.0
282.0,342.0,1.0
281.0,348.0,1.0
429.0,318.0,1.0
447.0,302.0,1.0
521.0,252.0,1.0
503.0,277.0,1.0
233.0,490.0,1.0
240.0,475.0,1.0
300.0,460.0,1.0
286.0,482.0,1.0
284.0,484.0,1.0
370.0,372.0,1.0
371.0,371.0,1.0
377.0,370.0,1.0
342.0,496.0,1.0
346.0,489.0,1.0
397.0,383.0,1.0
381.0,392.0,1.0
316.0,334.0,1.0
322.0,330.0,1.0
333.0,323.0,1.0
343.0,470.0,1.0
343.0,472.0,1.0
437.0,435.0,1.0
432.0,445.0,1.0
373.0,484.0,1.0
369.0,479.0,1.0
246.0,432.0,1.0
250.0,428.0,1.0
263.0,420.0,1.0
474.0,227.0,1.0
477.0,222.0,1.0
502.0,165.0,1.0
402.0,293.0,1.0
406.0,280.0,1.0
426.0,102.0,1.0
427.0,94.0,1.0
433.0,77.0,1.0
430.0,87.0,1.0
425.0,127.0,1.0
426.0,124.0,1.0
429.0,121.0,1.0
434.0,116.0,1.0
482.0,79.0,1.0
482.0,82.0,1.0
480.0,87.0,1.0
175.0,361.0,1.0
171.0,363.0,1.0
115.0,392.0,1.0
115.0,393.0,1.0
89.0,431.0,1.0
